Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
p1k_00320	2.6	10779956	4577053	10779956	426721474	1348501	419087750	1.788924266792348
p1k_00321	2.6	12815322	1665465	12815322	507316674	1701821	503585600	0.7354526652124191
p1k_00322	2.6	11911009	5067154	11911009	471517170	1582443	462957090	1.8154333595105347
p1k_00323	2.6	12081648	5135515	12081648	478291215	1568597	469645927	1.8075364399072227
p1k_00324	2.6	15762786	6718810	15762786	624004207	2105114	612644707	1.8204204190565658
p1k_00325	2.6	12557614	5338082	12557614	497076460	1619322	488148110	1.796172363503192
p1k_00326	2.6	13965266	1832796	13965266	552890429	1852673	548836075	0.7333015345071202
p1k_00327	2.6	12693186	5251399	12693186	502450917	2262402	492943298	1.892248312883465
p1k_00328	2.6	11393574	1507948	11393574	450984672	1470766	447690053	0.7305390192950948
p1k_00329	2.6	12055257	5167482	12055257	477211598	1641358	468446828	1.8366632405275278
p1k_00330	2.6	10654382	1417735	10654382	421714585	1432854	418562106	0.7475385277462007
p1k_00331	2.6	10321668	4403301	10321668	408573815	1468166	401061840	1.8385845407151213
p1k_00332	2.6	10278684	4374396	10278684	406867226	1549100	399316496	1.8558216335665239
p1k_00333	2.6	11885242	1607026	11885242	470409397	1784045	466672866	0.7943147020083869
p1k_00334	2.6	11324991	4790158	11324991	448248932	1717606	439965737	1.8479006660522281
p1k_00335	2.6	11356212	4806431	11356212	449473895	1707201	441167877	1.8479422481254444
p1k_00336	2.6	11759777	1584084	11759777	465458785	1738271	461796897	0.7867265841808099
p1k_00337	2.6	11697060	4959408	11697060	463003785	1769696	454461571	1.8449555439379401
p1k_00338	2.6	9639392	4096278	9639392	381546052	1445308	374517108	1.8422268984714854
p1k_00339	2.6	10467069	4452720	10467069	414311884	1551251	406672312	1.8439181435596956
p1k_00340	2.6	12403465	5826110	12403465	491054276	731623	482969560	1.646399674157404
p1k_00341	2.6	14182130	4126216	14182130	567285200	902326	560784419	1.1459458134991007
p1k_00342	2.6	12723542	4444360	12723542	508941680	801206	502433639	1.2787400316672826
p1k_00343	2.6	11382061	3984378	11382061	455282440	809663	449362702	1.3002342018725783
p1k_00344	2.6	11535668	3354185	11535668	461426720	725141	456150178	1.1435276223275497
p1k_00345	2.6	13670443	4771511	13670443	546817720	892475	539789223	1.2853455078229725
p1k_00346	2.6	13478028	3923348	13478028	539121120	861491	532941376	1.1462626431700542
p1k_00347	2.6	13526565	3947169	13526565	541062600	864270	534845075	1.149132281551155
p1k_00348	2.6	13851635	4018318	13851635	554065400	915116	547698315	1.1491576626152797
p1k_00349	2.6	9365861	2726748	9365861	374634440	332954	370600630	1.0767322940197384
p1k_00350	2.6	8823947	2571003	8823947	352957880	311179	349158471	1.0764482719581157
p1k_00351	2.6	8220598	2372262	8220598	328823920	298147	325318548	1.0660331523327136
p1k_00352	2.6	8441904	2966180	8441904	337676160	291813	333568123	1.2165611572934256
p1k_00353	2.6	9288520	3256573	9288520	371540800	339980	367010365	1.2193640644580621
p1k_00354	2.6	8508880	2979284	8508880	340355200	299540	336219645	1.215070314777033
p1k_00355	2.6	7308104	2120703	7308104	292324160	258226	289167989	1.079681884658456
p1k_00356	2.6	7843330	2745948	7843330	313733200	270603	309924195	1.2140905074757786
p1k_00357	2.6	5838756	1710578	5838756	233550240	170001	231060618	1.065989912919807
p1k_00358	2.6	12447329	3658045	12447329	497893160	357400	492567202	1.069698969152338
p1k_00359	2.6	6401157	1889881	6401157	256046280	209958	253247408	1.0931117608894767
p1k_00360	2.6	11499813	3516354	11499813	459992520	2454087	452782990	1.5673146163333267
p1k_00361	2.6	6415979	2084549	6415979	256639160	564443	253273411	1.3114713280701198
p1k_00362	2.6	6552965	2165821	6552965	262118600	592309	258588197	1.346872369988242
p1k_00363	2.6	12471430	3988229	12471430	498857200	1975276	491532710	1.4682538409789414
p1k_00364	2.6	7263017	2283807	7263017	290520680	1148334	286328702	1.4429189687976773
p1k_00365	2.6	8506309	2742773	8506309	340252360	1361743	335191039	1.487519733882228
p1k_00366	2.6	7896995	2542690	7896995	315879800	981742	311479925	1.3928953355042013
p1k_00367	2.6	10325543	3380576	10325543	413021720	1348125	407088119	1.4366317103129589
p1k_00368	2.6	10459016	3404943	10459016	418360640	1325511	412421954	1.4195135565334254
p1k_00369	2.6	7584483	2551195	7584483	303379320	811718	299009835	1.4402712089934144
p1k_00370	2.6	9514777	2952661	9514777	380591080	918695	375740788	1.2744103198635135
p1k_00371	2.6	9461225	2981793	9461225	378449000	1020501	373421901	1.3283425243559899
p1k_00372	2.6	9353870	2945511	9353870	374154800	927021	369276465	1.3038279877740442
p1k_00373	2.6	9026578	2834141	9026578	361063120	914198	356338942	1.3084077930750722
p1k_00374	2.6	7414007	2335687	7414007	296560280	749935	292668142	1.3124272744819367
p1k_00375	2.6	10091029	3131474	10091029	403641160	1209100	398266268	1.3316015641219543
p1k_00376	2.6	8706166	2699386	8706166	348246640	898250	343757315	1.28912227265136
p1k_00377	2.6	11422355	3604274	11422355	456894200	1128827	450923593	1.3067810884883195
p1k_00378	2.6	4935117	1556562	4935117	197404680	521715	194792445	1.3232892958768758
p1k_00379	2.6	9289441	2937754	9289441	371577640	933078	366712261	1.3093842245189997
p1k_00380	2.6	9667076	3060547	9667076	386683040	948859	381633772	1.3057898789665046
p1k_00381	2.6	8961839	2729046	8961839	358473560	1217661	353623031	1.3531064885231703
p1k_00382	2.6	7861622	2411379	7861622	314464880	1024097	310231772	1.3461306076532298
p1k_00383	2.6	8755011	2762727	8755011	350200440	1097829	345386066	1.3747481299566613
p1k_00384	2.6	8815119	2781611	8815119	352604760	1173964	347671594	1.3990639264200517
p1k_00385	2.6	8621440	2694559	8621440	344857600	1076770	340163517	1.3611655941466854
p1k_00386	2.6	9034162	2851893	9034162	361366480	940911	356602554	1.3183087706419256
p1k_00387	2.6	9123380	2820034	9123380	921461380	7131007	910272529	1.2142506721225799
p1k_00388	2.6	7576446	2286724	7576446	765221046	5008978	756910697	1.0860063302545393
p1k_00389	2.6	7066169	2184552	7066169	706616900	3065502	700510237	0.8642112862004857
p1k_00390	2.6	8973629	2762869	8973629	897362900	5314883	888219111	1.0189622281019195
p1k_00391	2.6	6809487	2027831	6809487	687758187	6284827	678401488	1.3604634851115194
p1k_00392	2.6	8818435	2615200	8818435	890661935	8118215	878475689	1.3682235112023733
p1k_00393	2.6	7375691	2118204	7375691	744944791	4268199	737692596	0.9735211370851777
p1k_00394	2.6	8058592	2394598	8058592	813917792	5975038	804502497	1.1567869743778743
p1k_00395	2.6	6926755	2108730	6926755	692675500	4821222	684954752	1.1146269790110954
p1k_00396	2.6	6891321	2113734	6891321	689132100	3314159	682936250	0.8990801618441515
p1k_00397	2.6	4846082	1504863	4846082	489454282	2006772	485061325	0.8975214154935108
p1k_00398	2.6	8546793	2668833	8546793	863226093	6243726	853094880	1.173645361528709
p1k_00399	2.6	8245679	2510326	8245679	832813579	5130526	823968390	1.0620851080047051
p1k_00400	2.6	9496195	2927963	9496195	959115695	6313633	948624981	1.093790254365507
p1k_00401	2.6	7003757	2141982	7003757	700375700	3034629	694345988	0.8609253576330532
p1k_00402	2.6	8161872	2482187	8161872	816187200	3912661	808834649	0.9008412530850765
p1k_00403	2.6	8946870	2792803	8946870	903633870	5459058	894141563	1.0504594078572995
p1k_00404	2.6	9735845	3032895	9735845	983320345	7812713	971133875	1.2393184034039284
p1k_00405	2.6	8467778	2649287	8467778	855245578	6418296	844997821	1.1982239094371558
p1k_00406	2.6	9707670	3005087	9707670	980474670	5384805	970783107	0.9884562341625818
p1k_00407	2.6	9281212	2930549	9281212	937402412	4228227	928886993	0.908405919484662
p1k_00408	2.6	8209001	2503314	8209001	820900100	4123877	813309531	0.9246641582818664
p1k_00409	2.6	9011022	2753653	9011022	901102200	7735255	889487318	1.2889638933297465
p1k_00410	2.6	8751268	2742231	8751268	883878068	7122285	872761774	1.2576727947502369
p1k_00411	2.6	8166422	2466803	8166422	824808622	6399176	814911562	1.1999219862665305
p1k_00412	2.6	9283258	2922440	9283258	937609058	5235756	928155464	1.0082660698868804
p1k_00413	2.6	8811539	2767863	8811539	889965439	3924597	882107414	0.8829584448615875
p1k_00414	2.6	11275459	3540996	11275459	1138821359	4528674	1129101867	0.853469415829599
p1k_00415	2.6	13046487	3977813	13046487	1304648700	6017778	1292873120	0.9025862670924364
p1k_00416	2.6	13653351	4184470	13653351	1365335100	6154416	1353040772	0.900462311413513
p1k_00417	2.6	7349474	2336568	7349474	742296874	5086169	733925090	1.1278215351880898
p1k_00418	2.6	8385477	2659434	8385477	846933177	4968723	838200708	1.031069420486287
p1k_00419	2.6	8873029	2804024	8873029	896175929	3934922	888277077	0.8813952422058414
p1k_00420	2.6	11075778	3346538	11075778	1118653578	400909	1113465273	0.46379907971831474
p1k_00421	2.6	13622668	4113894	13622668	1375889468	532205	1369402541	0.47147152085039434
p1k_00422	2.6	9563667	2882790	9563667	965930367	358445	961344649	0.47474622981803405
p1k_00423	2.6	10187113	3069872	10187113	1028898413	380586	1024035687	0.4726147828162702
p1k_00424	2.6	11777527	3537390	11777527	1189530227	422499	1184076659	0.45846401177664237
p1k_00425	2.6	7602215	2261492	7602215	767823715	585903	763853208	0.51711179564179
p1k_00426	2.6	8737831	2593253	8737831	882520931	640186	877936061	0.5195196894429238
p1k_00427	2.6	12418751	3783980	12418751	1241875100	2404053	1234129363	0.6237130448947724
p1k_00428	2.6	8422308	2498449	8422308	850653108	646549	846160151	0.5281773448831036
p1k_00429	2.6	9405041	2824034	9405041	949909141	347382	945464713	0.46787927478213415
p1k_00430	2.6	8828552	2667722	8828552	891683752	325377	887587399	0.4593952722377294
p1k_00431	2.6	10460349	3135592	10460349	1056495249	387516	1051504714	0.47236700824955624
p1k_00432	2.6	12465282	3730423	12465282	1258993482	458403	1253121263	0.46642171575595176
p1k_00433	2.6	3267250	951125	3267250	326725000	210163	325196000	0.46797765705103683
p1k_00434	2.6	3024582	877953	3024582	302458200	204212	301033170	0.4711494018016374
p1k_00435	2.6	9462729	2855786	9462729	955735629	359921	951144023	0.4804263711298765
p1k_00436	2.6	10377948	3120897	10377948	1048172748	385218	1043283979	0.4664087107137802
p1k_00437	2.6	10882307	3234984	10882307	1099113007	424558	1094153922	0.4511897292104378
p1k_00438	2.6	11252899	3340943	11252899	1136542799	427830	1131405639	0.4519988164563612
p1k_00439	2.6	5915884	1833100	5915884	591588400	1792600	587257864	0.7320184100972906
p1k_00440	2.6	7798631	2363855	7798631	779863100	8549915	767864730	1.538522594542555
p1k_00441	2.6	13934453	4473257	13934453	557378120	2463724	548982642	1.5062446297676702
p1k_00442	2.6	13188153	4170977	13188153	527526120	2518469	519478973	1.525449962553513
p1k_00443	2.6	10885144	3418707	10885144	435405760	2117477	428736355	1.5317677469402335
p1k_00444	2.6	11656574	3653209	11656574	466262960	2014365	459388360	1.47440405731564
p1k_00445	2.6	13371886	4283565	13371886	534875440	2082063	527118777	1.4501811861094238
p1k_00446	2.6	13545764	4329237	13545764	541830560	2179285	533912771	1.461303511562729
p1k_00447	2.6	14609856	4619267	14609856	584394240	2637883	575638943	1.4981833154276127
p1k_00448	2.6	14563986	4566249	14563986	582559440	1565567	574903800	1.3141388628085746
p1k_00449	2.6	13594250	4246610	13594250	543770000	1870971	536291292	1.3753439873475917
p1k_00450	2.6	12626981	3876270	12626981	505079240	1842680	498134499	1.374980488210127
p1k_00451	2.6	13728200	4557670	13728200	549128000	1930195	540798212	1.516911903964103
p1k_00452	2.6	12381150	3841963	12381150	495246000	1630716	488577679	1.3464664025554975
p1k_00453	2.6	14601286	4847070	14601286	584051440	1976022	575241543	1.5084111426897604
p1k_00454	2.6	13584756	4524817	13584756	543390240	1802044	535212190	1.5050049481934014
p1k_00455	2.6	7639658	2433916	7639658	305586320	1028293	301368006	1.380400143566636
p1k_00456	2.6	7633220	2320463	7633220	305328800	1371769	300860581	1.463412229701227
p1k_00457	2.6	7533563	2363632	7533563	301342520	1026788	297221646	1.367504990666435
p1k_00458	2.6	7130896	2247438	7130896	285235840	910091	281385966	1.3497160805598623
p1k_00459	2.6	11596406	3688129	11596406	463856240	1033544	457917960	1.2801983649071962
p1k_00460	2.6	13322062	3684768	13322062	532882480	379296	527705880	0.9714337014795457
p1k_00461	2.6	11485267	4098904	11485267	459410680	330510	453782874	1.2250054787581341
p1k_00462	2.6	10594866	3097662	10594866	423794640	314060	419363102	1.0456805211127729
p1k_00463	2.6	13369701	3713922	13369701	534788040	384764	529550195	0.9794244837636983
p1k_00464	2.6	13344668	3706615	13344668	533786720	370094	528555786	0.9799670550065389
p1k_00465	2.6	7720097	2197515	7720097	308803880	267339	305685150	1.009938735225736
p1k_00466	2.6	7707028	2193275	7707028	308281120	281442	305146728	1.0167317414702528
p1k_00467	2.6	8261890	2388347	8261890	330475600	278065	327025560	1.043962095840056
p1k_00468	2.6	7544451	2665530	7544451	301778040	265612	298043300	1.237578453355983
p1k_00469	2.6	9798743	3461628	9798743	391949720	344804	387143768	1.226165437750536
p1k_00470	2.6	11104080	3225469	11104080	444163200	301030	439542173	1.0403894334334767
p1k_00471	2.6	14187048	4185925	14187048	567481920	410089	561474458	1.0586173388572448
p1k_00472	2.6	11963670	4233427	11963670	478546800	347149	472757067	1.2098572177266675
p1k_00473	2.6	10460537	2987726	10460537	418421480	301163	414155331	1.0195817384900985
p1k_00474	2.6	9443987	2693247	9443987	377759480	270507	373904531	1.0204771035792404
p1k_00475	2.6	9529880	3316981	9529880	381195200	269297	376626856	1.198426422997981
p1k_00476	2.6	10866206	3134236	10866206	434648240	315041	430148246	1.0353185831374816
p1k_00477	2.6	12319236	3668588	12319236	492769440	400020	487415387	1.0865229385978157
p1k_00478	2.6	14769029	5116816	14769029	590761160	493901	583616652	1.209373344720225
p1k_00479	2.6	15212917	4324435	15212917	608516680	510415	602235486	1.0322139402982347
p1k_00480	2.6	13155383	3724733	13155383	526215320	429108	520784020	1.0321440280378003
p1k_00481	2.6	7495914	2121175	7495914	299836560	252783	296775381	1.020949213131314
p1k_00482	2.6	7105392	2013600	7105392	284215680	249416	281316363	1.0201115575326456
p1k_00483	2.6	6698829	1980126	6698829	267953160	276272	265021888	1.0939494051870857
p1k_00484	2.6	7355401	2172375	7355401	294216040	243064	291075536	1.0674142714992698
p1k_00485	2.6	14613683	5328377	14613683	584547320	510197	577114121	1.2716162996008604
p1k_00486	2.6	14700431	4338771	14700431	588017240	495261	581672821	1.0789511885739949
p1k_00487	2.6	14986531	4383183	14986531	599461240	511273	593058297	1.0681162638638655
p1k_00488	2.6	15770593	5488441	15770593	630823720	522509	623200955	1.2083827475606022
p1k_00489	2.6	11340914	4015795	11340914	453636560	316017	448104051	1.2195906344056573
p1k_00490	2.6	10084639	2859266	10084639	403385560	295067	399304448	1.0117149458696537
p1k_00491	2.6	12019652	3351295	12019652	480786080	394920	476037203	0.9877317995562601
p1k_00492	2.6	9911519	2751959	9911519	396460760	274925	392598167	0.9742686766781157
p1k_00493	2.6	11451429	3279343	11451429	458057160	330927	453400494	1.0166124245279782
p1k_00494	2.6	11511964	3295100	11511964	460478560	338466	455785016	1.0192752513819536
p1k_00495	2.6	8333590	2411747	8333590	333343600	291371	329859492	1.0452002078335987
p1k_00496	2.6	7370066	2136831	7370066	294802640	259701	291718887	1.0460398183679767
p1k_00497	2.6	8419947	2404406	8419947	336797880	288615	333329839	1.0297098663447644
p1k_00498	2.6	8739303	2477575	8739303	349572120	306178	346019163	1.0163731020654623
p1k_00499	2.6	6619219	2274609	6619219	264768760	216608	261634107	1.183921018476651
p1k_00500	2.6	5313564	1546082	5313564	212542560	151320	210310320	1.0502555347032614
p1k_00501	2.6	13014367	3784638	13014367	520574680	516452	514950917	1.080298988033763
p1k_00502	2.6	12705915	4389178	12705915	508236600	514178	502005346	1.2260537710192456
p1k_00503	2.6	12498907	3682128	12498907	499956280	512110	494477220	1.0959078261803212
p1k_00504	2.6	11958002	4134208	11958002	478320080	535047	472399028	1.2378848908036644
p1k_00505	2.6	14827510	5185409	14827510	593100400	569219	585709000	1.2462308236514423
p1k_00506	2.6	15449227	4439586	15449227	617969080	608944	611386889	1.0651327409455502
p1k_00507	2.6	10705222	2986185	10705222	428208880	314820	424004831	0.9817752962059078
p1k_00508	2.6	10896492	3048324	10896492	435859680	317134	431596249	0.9781659546944099
p1k_00509	2.6	14458262	4237087	14458262	578330480	467491	572169076	1.0653777058404392
p1k_00510	2.6	13723717	4013069	13723717	548948680	477539	543077291	1.0695697455725734
p1k_00511	2.6	5687097	1677403	5687097	227483880	205185	225003003	1.0905726594781133
p1k_00512	2.6	6271898	1855302	6271898	250875920	218465	248146464	1.0879704995202408
p1k_00513	2.6	4681680	1379966	4681680	187267200	171761	185233750	1.085854864065891
p1k_00514	2.6	4640673	1368921	4640673	185626920	156185	183631966	1.0747115773940548
p1k_00515	2.6	6963978	2043980	6963978	278559120	156057	275671701	1.0365551844075327
p1k_00516	2.6	11251766	3133754	11251766	450070640	331419	445524619	1.0100683306069467
p1k_00517	2.6	8675620	2425738	8675620	347024800	253190	343497633	1.0164019977822911
p1k_00518	2.6	7320089	2151251	7320089	373324539	191546	370203536	0.8360026395157485
p1k_00519	2.6	7376471	2162090	7376471	376200021	184823	373069767	0.8320717238875434
p1k_00520	2.6	8158496	2589668	8158496	416083296	583598	412098599	0.9576681011486701
p1k_00521	2.6	7774195	2482060	7774195	396483945	546156	392654068	0.9659601727378899
p1k_00522	2.6	8402843	2726000	8402843	336113720	1302321	331076212	1.498751077462711
p1k_00523	2.6	9617342	2999269	9617342	384693680	1297341	379368973	1.384142052970561
p1k_00524	2.6	7049635	2203802	7049635	281985400	1148423	277899257	1.4490619017864046
p1k_00525	2.6	7222346	2251157	7222346	288893840	1168998	284700026	1.4516799665925724
p1k_00526	2.6	11297462	3561091	11297462	451898480	1786530	445369933	1.4446932859787445
p1k_00527	2.6	12346338	3884162	12346338	493853520	1817313	486888140	1.4104141649127053
p1k_00528	2.6	9082404	2833203	9082404	363296160	1127249	358424048	1.3410854659184948
p1k_00529	2.6	9696034	3053526	9696034	387841360	912200	382904090	1.2730127596499765
p1k_00530	2.6	8055918	2640610	8055918	322236720	1292903	317285520	1.5365101779834403
p1k_00531	2.6	9933333	3267637	9933333	397333320	1549302	391267997	1.5265075176680374
p1k_00532	2.6	7606213	2524743	7606213	304248520	1309914	299443071	1.5794486033983008
p1k_00533	2.6	7599965	2392085	7599965	303998600	1155337	299639203	1.4340187750864641
p1k_00534	2.6	7785320	2381523	7785320	311412800	1277877	306945162	1.4346353136415717
p1k_00535	2.6	7684924	2345600	7684924	307396960	920926	303354466	1.3150728621389098
p1k_00536	2.6	8638784	2640606	8638784	345551360	1105744	340936617	1.3354723882435307
p1k_00537	2.6	7955128	2577046	7955128	318205120	1007798	313682279	1.4213602219851145
p1k_00538	2.6	8881268	2695308	8881268	355250720	1905979	349752738	1.5476343017686214
p1k_00539	2.6	13840797	4394249	13840797	553631880	1446738	546341836	1.3167673797975652
p1k_00540	2.6	9024783	2591844	9024783	360991320	365599	357114860	1.0738374540418312
p1k_00541	2.6	11032572	3173242	11032572	441302880	463778	436550546	1.0768871483458253
p1k_00542	2.6	10528671	3011793	10528671	421146840	435538	416642580	1.069522449699492
p1k_00543	2.6	13669253	3877243	13669253	546770120	580211	541010745	1.0533448682235964
p1k_00544	2.6	14467655	4094457	14467655	578706200	616479	572585249	1.057695770323525
p1k_00545	2.6	12638346	4508862	12638346	505533840	515483	499066357	1.279337304106091
p1k_00546	2.6	10369248	3037200	10369248	414769920	299707	410344777	1.0668910127330353
p1k_00547	2.6	8013221	2340082	8013221	320528840	237727	317117125	1.064401880342499
p1k_00548	2.6	10574326	3715518	10574326	422973040	418703	417667329	1.2543851494648455
p1k_00549	2.6	8576273	2439757	8576273	343050920	355364	339410673	1.0611389702729845
p1k_00550	2.6	13711540	3992619	13711540	548461600	411571	542672533	1.0555099937716699
p1k_00551	2.6	3942340	1382838	3942340	157693600	116238	155760377	1.2259362459858865
p1k_00552	2.6	6846724	2405850	6846724	273868960	225560	270478046	1.2381519979482158
p1k_00553	2.6	7354086	2577555	7354086	294163440	253136	290521969	1.2379074027690185
p1k_00554	2.6	4783083	1668720	4783083	191323320	164644	188992173	1.2184332782851561
p1k_00555	2.6	7679807	2679746	7679807	307192280	266134	303456614	1.2160676694088797
p1k_00556	2.6	13415256	3852507	13415256	536610240	534360	530891341	1.0657454095546146
p1k_00557	2.6	6461620	1818097	6461620	258464800	183633	255836692	1.0168146687672752
p1k_00558	2.6	9038676	2739597	9038676	912906276	391351	908651616	0.466056605355181
p1k_00559	2.6	9647744	2870508	9647744	974422144	258414	970127798	0.4407069386140715
p1k_00560	2.6	5453837	1805247	5453837	218153480	613706	215023410	1.434801773503682
p1k_00561	2.6	11906645	3919778	11906645	476265800	1423393	469392588	1.4431462431272621
p1k_00562	2.6	8953995	2764431	8953995	1343099250	10309055	1324030554	1.4197533056473675
p1k_00563	2.6	10696260	3390345	10696260	1604439000	12574867	1579172570	1.5747828368669674
p1k_00564	2.6	10179752	3151316	10179752	1526962800	12070965	1504519108	1.4698257220149697
p1k_00565	2.6	12536704	3904355	12536704	1880505600	14326027	1852776926	1.4745329128506717
p1k_00566	2.6	9819525	3166296	9819525	392781000	1145080	387416849	1.365684949119229
p1k_00567	2.6	4021927	1333670	4021927	160877080	414777	158608774	1.4099621897662489
p1k_00568	2.6	8334442	2735326	8334442	333377680	770073	329010148	1.3100853062508564
p1k_00569	2.6	9273755	3032078	9273755	370950200	852310	366112265	1.3042006716804575
p1k_00570	2.6	8647674	2707216	8647674	441031374	595616	436934414	0.9289497848740348
p1k_00571	2.6	12505016	3964207	12505016	637755816	836603	631806992	0.9327745589700744
p1k_00572	2.6	6305696	2002413	6305696	321590496	456028	318528496	0.9521425658051785
p1k_00573	2.6	4237752	1338800	4237752	216125352	347978	213985137	0.9902655936449326
p1k_00574	2.6	9151513	2909374	9151513	366060520	1098516	361113031	1.3515494650993776
p1k_00575	2.6	7316970	2413998	7316970	292678800	756921	288548412	1.4112357984247579
p1k_00576	2.6	8293032	2485616	8293032	837596232	4353002	829831678	0.9270044089692132
p1k_00577	2.6	8481812	2538969	8481812	856663012	4554220	848583513	0.9431362025468188
p1k_00578	2.6	10809687	3426842	10809687	432387480	1018512	426807662	1.2904670597770314
p1k_00579	2.6	9034825	2858878	9034825	361393000	951793	356642223	1.314573608232589
p1k_00580	2.6	11246426	3571525	11246426	1686963900	12526660	1660882675	1.5460452354671017
p1k_00581	2.6	12716262	3832401	12716262	1284342462	5879241	1273246884	0.8639111707575078
p1k_00582	2.6	12730450	3750766	12730450	1285775450	10422164	1270193830	1.211846127564498
p1k_00583	2.6	9731393	2897500	9731393	982870693	6875093	971984957	1.107545079686286
p1k_00584	2.6	6421786	2030591	6421786	256871440	662629	253486212	1.317868580485242
p1k_00585	2.6	9358344	2964726	9358344	374333760	721946	369646115	1.2522634880701116
p1k_00586	2.6	4853733	1522928	4853733	194149320	382155	191735101	1.24348568411159
p1k_00587	2.6	10076507	3177859	10076507	403060280	823800	398017386	1.2511513166219208
p1k_00588	2.6	5535046	1750789	5535046	221401840	449153	218618603	1.2570975019900466
p1k_00589	2.6	9164608	2881863	9164608	366584320	745305	362012826	1.2470511559250543
p1k_00590	2.6	6492235	2058622	6492235	259689400	488103	256452972	1.2462688118960574
p1k_00591	2.6	6009600	1889732	6009600	240384000	460934	237392084	1.2446402422790204
p1k_00592	2.6	11681347	3664216	11681347	467253880	1027288	461374130	1.2583630124162908
p1k_00593	2.6	10601137	3445370	10601137	424045480	956107	418538558	1.2986630585002343
p1k_00594	2.6	8666572	2925279	8666572	346662880	721998	341837772	1.3918732804619864
p1k_00595	2.6	5677748	1887133	5677748	227109920	510807	223967992	1.383439349544925
p1k_00596	2.6	10429285	3305151	10429285	417171400	1458220	411299707	1.4075013291898726
p1k_00597	2.6	9404842	3117944	9404842	376193680	1368618	370495895	1.5145881770262595
p1k_00598	2.6	12147335	4047298	12147335	485893400	1568103	478735385	1.4731657190651284
p1k_00599	2.6	10262149	3415477	10262149	410485960	1488861	404265119	1.515482039872935
p1k_00600	2.6	9401815	3108334	9401815	376072600	1201681	370536402	1.472108842813861
p1k_00601	2.6	9903621	3320040	9903621	396144840	1273200	390238868	1.4908617767178287
p1k_00602	2.6	9137939	2816568	9137939	365517560	1394433	360360618	1.4108602607218106
p1k_00603	2.6	9939463	3097563	9939463	397578520	846315	392618197	1.2476335492168942
p1k_00604	2.6	9641910	3236151	9641910	385676400	1139425	380030828	1.4638105935442252
p1k_00605	2.6	9953231	3340790	9953231	398129240	1360466	392111832	1.5114207637700763
p1k_00606	2.6	13844329	4678350	13844329	553773160	1598832	545733490	1.4517984222998457
p1k_00607	2.6	12467472	3882350	12467472	498698880	1710897	491816984	1.3799702136888696
p1k_00608	2.6	11085769	3777992	11085769	443430760	1619788	436577352	1.5455418564106829
p1k_00609	2.6	12185875	3676574	12185875	487435000	1791641	480771665	1.3670202180803595
p1k_00610	2.6	12612470	4283958	12612470	504498800	1648073	496942482	1.4977871106928302
p1k_00611	2.6	11854440	3630438	11854440	474177600	1703295	467628953	1.381053638974089
p1k_00612	2.6	10600332	2962078	10600332	1070633532	14442635	1052023215	1.7382527675212027
p1k_00613	2.6	13227967	3727812	13227967	1336024667	15479367	1315175149	1.5605638514756555
p1k_00614	2.6	11668355	3258658	11668355	1178503855	13787929	1160132888	1.5588380913696716
p1k_00615	2.6	10961888	3064235	10961888	1107150688	11931085	1090849074	1.472393430875057
p1k_00616	2.6	14842417	2906155	14842417	2070352203	16570986	2042270591	1.3563688322841367
p1k_00617	2.6	14657402	2842307	14657402	2041930529	15058262	2015920374	1.2738021509839526
p1k_00618	2.6	18192420	3529603	18192420	2496215824	16717476	2464673145	1.263619863984966
p1k_00619	2.6	16650950	3273848	16650950	2312611947	14838910	2285233574	1.183872332559562
p1k_00620	2.6	14681682	2737577	14681682	2036773823	2680838	2003504993	1.6334081685612865
p1k_00621	2.6	14612973	2640950	14612973	2024481206	3089428	2000254089	1.1967074294489648
p1k_00622	2.6	13382008	2292115	13382008	1839382904	1527879	1818004834	1.1622414209412484
p1k_00623	2.6	13017914	2414700	13017914	1783943541	1578014	1754224203	1.6659348974318242
p1k_00624	2.6	17646446	3037628	17646446	2434162459	2184317	2408339126	1.0608713853309821
p1k_00625	2.6	13621692	2413476	13621692	1875003630	1643973	1852570141	1.1964504303386336
p1k_00626	2.6	15015269	2933133	15015269	2017833307	3287548	1955008355	3.1134857265987232
p1k_00627	2.6	17416600	3310898	17416600	2349804030	3969637	2301417932	2.0591546095867406
p1k_00628	2.6	16020684	3028462	16020684	2152259207	3470156	2116938816	1.6410844421119952
p1k_00629	2.6	12637187	2775679	12637187	1700130007	3003565	1617173975	4.879393438057234
p1k_00630	2.6	18248429	3073870	18248429	2519426012	2758843	2497002362	0.8900301057937954
p1k_00631	2.6	16288741	2672921	16288741	2259429707	2672269	2236953644	0.9947670834974995
p1k_00632	2.6	14794173	2643000	14794173	2028032931	1844970	2007966381	0.9894587850753198
p1k_00633	2.6	12690426	2431895	12690426	1754798993	2075087	1730473610	1.3862204786437327
p1k_00634	2.6	15183476	2831824	15183476	2058176063	3344399	2023463674	1.6865607186881368
p1k_00635	2.6	14246571	2872142	14246571	1908970020	3341163	1841151543	3.5526213764216164
p1k_00636	2.6	12774297	2490347	12774297	1713229966	2888320	1673700254	2.307320837510964
p1k_00637	2.6	12560981	2456763	12560981	1687565703	2910906	1652242708	2.0931330221517306
p1k_00638	2.6	16808555	2942685	16808555	2299662636	2150786	2275259530	1.0611602596825425
