Sample	Sense	Antisense	Undetermined
p1k_00629	2.44	46.19	51.38
p1k_00630	2.23	47.53	50.239999999999995
p1k_00631	4.33	45.86	49.81
p1k_00632	3.46	45.73	50.8
p1k_00633	2.5700000000000003	46.22	51.21
p1k_00634	2.19	47.27	50.54
p1k_00635	2.18	47.64	50.18
p1k_00636	2.6	46.660000000000004	50.739999999999995
p1k_00637	3.7800000000000002	45.97	50.260000000000005
p1k_00638	4.61	43.79	51.6
p1k_00639	4.49	43.980000000000004	51.53
p1k_00640	2.56	46.54	50.89
p1k_00641	2.5700000000000003	47.03	50.39
p1k_00642	3.01	45.72	51.28
p1k_00643	4.97	44.56	50.470000000000006
p1k_00644	2.04	46.2	51.77
p1k_00645	2.17	46.300000000000004	51.53
p1k_00646	2.12	54.35	43.53
p1k_00647	5.66	48.480000000000004	45.86
p1k_00648	1.9800000000000002	46.379999999999995	51.629999999999995
p1k_00649	2.04	46.44	51.519999999999996
p1k_00650	2.1399999999999997	45.43	52.43
p1k_00651	2.17	45.36	52.470000000000006
p1k_00652	2.86	45.96	51.17
p1k_00653	2.6	45.92	51.480000000000004
p1k_00654	2.23	47.63	50.13999999999999
p1k_00655	2.4899999999999998	48.36	49.15
p1k_00656	2.21	46.400000000000006	51.39
p1k_00657	2.36	45.65	51.980000000000004
p1k_00658	1.73	49.59	48.67
p1k_00659	1.81	49.99	48.19
p1k_00660	2.4899999999999998	46.25	51.25999999999999
p1k_00661	2.4	47.67	49.919999999999995
p1k_00662	2.45	48.57	48.980000000000004
p1k_00663	2.5	48.51	48.99
p1k_00664	2.34	45.64	52.019999999999996
p1k_00665	2.67	46.01	51.32
p1k_00666	1.6500000000000001	33.21	65.14
p1k_00667	2.44	38.129999999999995	59.43000000000001
p1k_00668	2.22	46.83	50.96000000000001
p1k_00669	2.32	46.57	51.11
p1k_00670	2.86	45.24	51.9
p1k_00671	2.97	45.300000000000004	51.72
p1k_00672	2.37	48.02	49.61
p1k_00673	2.87	47.61	49.519999999999996
p1k_00674	2.39	46.7	50.9
p1k_00675	2.07	45.34	52.59
p1k_00676	2.75	45.69	51.55
p1k_00677	2.56	46.6	50.839999999999996
p1k_00678	2.58	46.11	51.31
p1k_00679	2.6599999999999997	46.79	50.55
p1k_00680	2.45	45.15	52.400000000000006
p1k_00681	2.13	46.22	51.65
p1k_00682	2.2800000000000002	43.8	53.92
p1k_00683	2.2800000000000002	44.34	53.38
p1k_00684	2.1999999999999997	48.85	48.96
p1k_00686	2.09	48.93	48.980000000000004
p1k_00687	1.53	51.1	47.370000000000005
p1k_00688	1.9800000000000002	52.080000000000005	45.93
p1k_00689	1.7999999999999998	52.18000000000001	46.03
p1k_00690	2.5100000000000002	50.2	47.29
p1k_00691	2.81	50.01	47.18
p1k_00692	2.77	44.62	52.61
p1k_00693	2.4699999999999998	44.93	52.6
p1k_00694	2.33	46.51	51.17
p1k_00695	2.39	47.04	50.57000000000001
p1k_00696	2.59	49.69	47.72
p1k_00697	2.41	50.41	47.18
p1k_00698	2.18	46.57	51.24999999999999
p1k_00699	2.2399999999999998	46.39	51.370000000000005
p1k_00700	2.69	44.36	52.949999999999996
p1k_00701	2.82	43.87	53.31
p1k_00702	2.23	44.99	52.78
p1k_00703	6.17	43.75	50.07
p1k_00704	2.1999999999999997	47.349999999999994	50.449999999999996
p1k_00705	1.9800000000000002	47.68	50.339999999999996
p1k_00706	2.2399999999999998	47.88	49.88
p1k_00707	2.12	47.9	49.97
p1k_00708	2.33	48.96	48.71
p1k_00709	2.27	47.589999999999996	50.13999999999999
p1k_00710	9.08	38.74	52.18000000000001
p1k_00711	2.91	44.21	52.88
p1k_00712	2.5100000000000002	44.5	52.99
p1k_00713	2.54	44.18	53.28000000000001
p1k_00714	2.55	44.41	53.05
p1k_00715	2.55	44.41	53.04
p1k_00716	2.85	50.46000000000001	46.69
p1k_00717	6.87	43.79	49.34
p1k_00718	29.630000000000003	25.66	44.71
p1k_00719	2.7	44.0	53.31
p1k_00720	45.45	15.989999999999998	38.57
p1k_00721	2.75	45.12	52.129999999999995
p1k_00722	8.59	40.510000000000005	50.9
p1k_00723	2.88	45.410000000000004	51.72
p1k_00724	14.44	35.76	49.8
p1k_00725	2.6100000000000003	44.47	52.910000000000004
p1k_00726	2.5	44.07	53.42
p1k_00727	2.26	44.74	53.010000000000005
p1k_00728	2.5100000000000002	45.28	52.2
p1k_00729	2.67	45.09	52.239999999999995
p1k_00730	2.6100000000000003	44.82	52.56999999999999
p1k_00732	2.48	43.53	53.99
p1k_00733	7.48	41.38	51.13999999999999
p1k_00734	2.39	43.99	53.620000000000005
p1k_00735	2.64	47.23	50.13999999999999
p1k_00736	2.53	46.87	50.6
p1k_00737	3.83	45.82	50.36000000000001
p1k_00738	2.4	46.23	51.370000000000005
p1k_00739	2.4899999999999998	45.07	52.44
p1k_00740	2.4	45.24	52.35999999999999
p1k_00741	2.52	45.81	51.67
p1k_00742	2.56	45.75	51.690000000000005
p1k_00743	2.5700000000000003	50.41	47.03
p1k_00744	3.0300000000000002	48.11	48.86
p1k_00745	3.56	48.19	48.25
p1k_00746	3.34	48.17	48.49
p1k_00747	2.8400000000000003	44.03	53.13
p1k_00748	2.74	44.190000000000005	53.06999999999999
p1k_00749	2.69	39.77	57.53
p1k_00750	2.85	41.83	55.32
p1k_00751	2.52	42.13	55.35
p1k_00752	2.91	42.91	54.17999999999999
p1k_00753	2.62	45.519999999999996	51.849999999999994
p1k_00754	3.08	47.18	49.74
p1k_00755	2.71	43.75	53.53
p1k_00756	2.92	43.54	53.54
p1k_00757	2.6100000000000003	43.45	53.94
p1k_00758	3.0	43.669999999999995	53.33
p1k_00759	2.75	44.019999999999996	53.23
p1k_00760	2.73	43.47	53.790000000000006
p1k_00761	2.07	52.44	45.49
p1k_00762	3.4299999999999997	53.86	42.71
p1k_00763	3.06	46.22	50.72
p1k_00764	2.86	45.56	51.57000000000001
p1k_00765	2.86	46.68	50.46000000000001
p1k_00766	2.75	46.6	50.63999999999999
p1k_00767	4.0	46.239999999999995	49.76
p1k_00768	2.68	49.76	47.56
p1k_00769	2.64	46.89	50.470000000000006
p1k_00770	2.75	46.92	50.33
p1k_00771	1.8900000000000001	42.54	55.57
p1k_00772	1.6099999999999999	42.41	55.98
p1k_00773	2.2399999999999998	45.23	52.53
p1k_00775	2.01	43.19	54.790000000000006
p1k_00776	1.6099999999999999	43.28	55.11000000000001
p1k_00777	2.0500000000000003	43.5	54.449999999999996
p1k_00778	1.6099999999999999	44.0	54.39000000000001
p1k_00779	2.01	47.339999999999996	50.64999999999999
p1k_00780	1.9	46.27	51.83
p1k_00781	2.39	48.66	48.949999999999996
p1k_00782	2.0	48.46	49.54
p1k_00783	1.94	42.21	55.84
p1k_00784	1.5699999999999998	42.809999999999995	55.620000000000005
p1k_00785	2.35	42.47	55.17999999999999
p1k_00786	2.22	44.71	53.06999999999999
p1k_00787	1.52	42.68	55.800000000000004
p1k_00788	1.55	43.03	55.42
p1k_00789	2.29	43.64	54.06999999999999
p1k_00790	2.5	44.97	52.52
p1k_00791	4.47	52.449999999999996	43.09
p1k_00792	4.91	42.970000000000006	52.12
p1k_00793	6.05	56.269999999999996	37.68
p1k_00794	5.07	44.12	50.81
p1k_00795	3.2300000000000004	42.34	54.43
p1k_00796	4.09	43.18	52.739999999999995
p1k_00797	1.9800000000000002	37.730000000000004	60.29
p1k_00798	2.2399999999999998	44.6	53.16
p1k_00799	2.4699999999999998	44.79	52.739999999999995
p1k_00800	2.6100000000000003	45.94	51.449999999999996
p1k_00801	2.7199999999999998	45.33	51.949999999999996
p1k_00802	2.67	44.879999999999995	52.44
p1k_00803	4.58	44.440000000000005	50.980000000000004
p1k_00804	4.66	43.99	51.349999999999994
p1k_00805	3.85	43.24	52.92
p1k_00806	4.08	42.34	53.580000000000005
p1k_00807	3.6999999999999997	44.1	52.2
p1k_00808	3.6900000000000004	43.919999999999995	52.39
p1k_00809	3.45	41.58	54.97
p1k_00810	3.66	42.08	54.26
p1k_00811	3.5000000000000004	41.32	55.17999999999999
p1k_00812	3.5900000000000003	40.62	55.78999999999999
p1k_00813	3.4799999999999995	41.339999999999996	55.19
p1k_00814	3.2800000000000002	42.71	54.010000000000005
p1k_00815	3.58	42.309999999999995	54.120000000000005
p1k_00816	3.7800000000000002	41.589999999999996	54.63
p1k_00817	3.34	42.22	54.44
p1k_00818	3.56	43.41	53.03
p1k_00819	3.38	41.31	55.32
p1k_00820	3.2199999999999998	41.75	55.03
p1k_00821	15.64	32.74	51.62
p1k_00822	24.9	29.759999999999998	45.35
p1k_00823	18.63	30.72	50.64999999999999
p1k_00824	27.54	30.78	41.68
p1k_00825	23.79	30.4	45.81
p1k_00826	5.6000000000000005	47.910000000000004	46.489999999999995
p1k_00827	5.4	46.35	48.25
p1k_00828	5.319999999999999	41.099999999999994	53.580000000000005
p1k_00829	4.859999999999999	41.94	53.2
p1k_00830	4.82	35.74	59.440000000000005
p1k_00831	4.96	37.37	57.67
p1k_00832	5.27	41.69	53.04
p1k_00833	4.61	44.11	51.28
p1k_00834	5.16	38.71	56.120000000000005
p1k_00835	6.21	42.11	51.68000000000001
p1k_00836	4.35	47.14	48.51
p1k_00837	4.2299999999999995	50.36000000000001	45.410000000000004
p1k_00838	4.83	46.06	49.11
p1k_00839	4.8500000000000005	46.160000000000004	49.0
p1k_00840	2.86	26.43	70.71
p1k_00841	3.2800000000000002	30.34	66.39
p1k_00842	3.11	37.4	59.489999999999995
p1k_00843	3.5900000000000003	36.94	59.47
p1k_00844	4.63	41.17	54.190000000000005
p1k_00845	4.859999999999999	44.330000000000005	50.82
p1k_00846	4.46	45.07	50.46000000000001
p1k_00847	4.01	44.15	51.839999999999996
p1k_00848	3.91	47.15	48.94
p1k_00849	4.38	53.64	41.97
p1k_00850	5.609999999999999	42.449999999999996	51.94
p1k_00851	5.66	42.51	51.82
p1k_00852	4.83	43.0	52.18000000000001
p1k_00853	4.66	39.18	56.16
p1k_00854	5.3100000000000005	44.519999999999996	50.17
p1k_00855	6.98	45.33	47.68
p1k_00856	4.9399999999999995	43.5	51.559999999999995
p1k_00857	6.510000000000001	45.17	48.32
p1k_00858	6.81	45.64	47.55
p1k_00859	7.539999999999999	44.83	47.64
p1k_00860	4.78	42.88	52.339999999999996
p1k_00861	4.71	44.37	50.91
p1k_00862	5.34	42.25	52.42
p1k_00863	4.97	41.25	53.779999999999994
p1k_00864	4.55	41.32	54.13
p1k_00865	3.62	32.85	63.53
p1k_00866	5.67	42.38	51.949999999999996
p1k_00867	5.09	41.77	53.14
p1k_00868	5.33	43.69	50.980000000000004
p1k_00869	5.34	43.94	50.73
p1k_00870	5.4399999999999995	42.809999999999995	51.74999999999999
p1k_00871	5.46	41.43	53.11
p1k_00872	4.04	46.54	49.419999999999995
p1k_00873	3.62	46.07	50.31
p1k_00874	7.180000000000001	47.48	45.34
p1k_00875	7.28	45.79	46.93
p1k_00876	5.45	45.300000000000004	49.25
p1k_00877	5.18	45.48	49.34
p1k_00878	4.3	43.519999999999996	52.18000000000001
p1k_00879	4.89	43.26	51.849999999999994
p1k_00880	5.35	42.4	52.25
p1k_00881	5.0200000000000005	44.07	50.91
p1k_00882	3.88	39.94	56.18
p1k_00883	3.88	38.93	57.18
p1k_00884	3.88	40.99	55.13
p1k_00885	3.93	40.81	55.26
p1k_00886	5.82	40.54	53.64
p1k_00887	5.18	40.32	54.510000000000005
p1k_00888	4.5600000000000005	41.6	53.839999999999996
p1k_00889	3.81	41.85	54.35
p1k_00890	2.67	48.089999999999996	49.24
p1k_00891	2.63	49.0	48.370000000000005
p1k_00892	3.38	40.11	56.510000000000005
p1k_00893	2.9899999999999998	42.699999999999996	54.32
p1k_00894	3.29	42.71	53.99
p1k_00895	3.44	43.2	53.36
p1k_00896	3.1	42.51	54.39000000000001
p1k_00897	2.93	45.24	51.83
p1k_00898	2.81	42.58	54.61
p1k_00899	2.79	42.44	54.779999999999994
p1k_00900	2.48	48.93	48.59
p1k_00901	2.41	52.129999999999995	45.46
p1k_00902	2.8899999999999997	44.47	52.64
p1k_00903	3.01	44.71	52.28
p1k_00904	2.52	46.150000000000006	51.33
p1k_00905	2.54	46.62	50.83
p1k_00906	4.130000000000001	43.769999999999996	52.09
p1k_00907	4.03	44.72	51.25999999999999
p1k_00908	3.83	45.69	50.49
p1k_00909	4.15	46.129999999999995	49.72
p1k_00910	2.3	44.42	53.269999999999996
p1k_00911	2.2399999999999998	44.940000000000005	52.82
p1k_00912	4.21	39.17	56.620000000000005
p1k_00913	3.7900000000000005	41.349999999999994	54.86
p1k_00914	5.19	42.42	52.39
p1k_00915	4.47	46.87	48.66
p1k_00916	3.5900000000000003	42.17	54.24
p1k_00917	3.95	47.05	49.0
p1k_00918	3.62	44.86	51.51
p1k_00919	3.45	44.15	52.400000000000006
p1k_00920	2.03	43.0	54.97
p1k_00921	2.9899999999999998	43.059999999999995	53.949999999999996
p1k_00922	2.56	43.72	53.72
p1k_00923	2.41	44.7	52.88
p1k_00924	2.55	40.96	56.489999999999995
p1k_00925	2.4299999999999997	44.62	52.949999999999996
p1k_00926	2.62	44.41	52.96999999999999
p1k_00927	2.56	44.629999999999995	52.81
p1k_00928	2.29	46.44	51.27
p1k_00929	2.32	46.129999999999995	51.54
p1k_00930	13.900000000000002	38.91	47.19
p1k_00931	8.649999999999999	42.47	48.89
p1k_00932	21.57	36.480000000000004	41.959999999999994
p1k_00933	4.64	44.87	50.49
p1k_00934	1.9900000000000002	44.54	53.459999999999994
p1k_00935	1.8599999999999999	44.35	53.790000000000006
p1k_00936	2.1399999999999997	43.15	54.71
p1k_00937	2.29	44.06	53.65
p1k_00938	2.35	43.730000000000004	53.93
p1k_00939	2.23	45.06	52.71
p1k_00940	5.0200000000000005	40.510000000000005	54.47
p1k_00941	5.19	38.79	56.03
p1k_00942	2.09	44.379999999999995	53.53
p1k_00943	2.4699999999999998	39.589999999999996	57.940000000000005
p1k_00944	2.58	43.04	54.379999999999995
p1k_00945	2.29	42.96	54.75
p1k_00946	2.78	39.58	57.64
p1k_00947	2.9000000000000004	43.25	53.86
p1k_00948	3.35	41.47	55.19
p1k_00949	2.77	33.61	63.62
p1k_00950	2.2399999999999998	40.64	57.120000000000005
p1k_00951	2.29	40.87	56.84
p1k_00952	2.6	39.73	57.66
p1k_00953	2.26	42.86	54.879999999999995
p1k_00954	2.5700000000000003	43.28	54.15
p1k_00955	2.39	39.56	58.050000000000004
p1k_00956	2.83	38.22	58.96
p1k_00957	2.11	41.53	56.36
p1k_00958	2.3	42.52	55.17999999999999
p1k_00959	3.56	42.84	53.6
p1k_00960	3.71	40.53	55.76
p1k_00961	1.8499999999999999	44.89	53.26
p1k_00962	2.1	44.87	53.03
p1k_00963	2.85	43.08	54.06999999999999
p1k_00964	2.62	42.34	55.04
p1k_00965	2.42	43.68	53.910000000000004
p1k_00966	3.2	39.900000000000006	56.89999999999999
p1k_00967	1.83	43.61	54.559999999999995
p1k_00968	3.3000000000000003	42.4	54.300000000000004
p1k_00969	4.08	40.77	55.15
p1k_00970	2.4699999999999998	42.21	55.32
p1k_00971	2.48	43.38	54.15
p1k_00972	2.4899999999999998	42.16	55.35
p1k_00973	2.21	40.52	57.269999999999996
p1k_00974	2.78	37.580000000000005	59.64
p1k_00975	1.8499999999999999	42.01	56.14
p1k_00976	2.4299999999999997	41.0	56.57
p1k_00977	2.81	43.11	54.08
p1k_00978	3.1199999999999997	43.69	53.190000000000005
p1k_00979	2.44	40.61	56.95
p1k_00980	2.6	36.52	60.870000000000005
p1k_00981	2.08	40.99	56.93
p1k_00982	2.5	41.29	56.21000000000001
p1k_00983	2.06	44.81	53.13
p1k_00984	3.38	40.65	55.97
p1k_00985	2.64	43.95	53.410000000000004
p1k_00986	2.6100000000000003	43.63	53.76
p1k_00987	2.53	42.230000000000004	55.24
p1k_00988	1.87	45.04	53.1
p1k_00989	5.21	37.66	57.13
p1k_00990	2.74	41.660000000000004	55.60000000000001
p1k_00991	1.87	42.67	55.47
p1k_00992	2.5	41.02	56.48
p1k_00993	2.8000000000000003	43.47	53.73
p1k_00994	2.59	42.230000000000004	55.17999999999999
p1k_00995	2.2800000000000002	41.410000000000004	56.31
p1k_00996	4.78	37.75	57.47
p1k_00997	1.8499999999999999	44.42	53.73
p1k_00998	1.91	41.38	56.71000000000001
p1k_00999	2.45	40.53	57.02
p1k_01000	1.92	42.46	55.61000000000001
p1k_01001	3.42	39.86	56.730000000000004
p1k_01002	2.92	40.04	57.04
p1k_01003	2.53	44.3	53.169999999999995
p1k_01004	2.8400000000000003	41.760000000000005	55.400000000000006
p1k_01005	2.4299999999999997	44.5	53.080000000000005
p1k_01006	2.45	42.74	54.81
p1k_01007	2.36	43.63	54.02
p1k_01008	1.9	45.34	52.76
p1k_01009	2.09	47.54	50.370000000000005
p1k_01010	2.13	47.05	50.82
p1k_01011	2.98	45.49	51.53
p1k_01012	2.58	46.739999999999995	50.67
p1k_01013	2.5100000000000002	47.0	50.49
p1k_01014	2.9499999999999997	46.54	50.51
p1k_01015	2.7	40.8	56.49999999999999
p1k_01016	2.3800000000000003	43.95	53.669999999999995
p1k_01017	2.1999999999999997	44.05	53.75
p1k_01018	2.5100000000000002	44.3	53.190000000000005
p1k_01019	2.2800000000000002	43.35	54.37
p1k_01020	2.0500000000000003	44.13	53.82
p1k_01021	2.5	38.56	58.940000000000005
p1k_01022	2.41	42.35	55.230000000000004
p1k_01023	2.37	41.78	55.85
p1k_01024	4.79	38.66	56.55
p1k_01025	2.26	40.57	57.16
p1k_01026	2.56	43.11	54.33
p1k_01027	2.36	44.9	52.739999999999995
p1k_01028	3.42	42.69	53.89000000000001
p1k_01029	2.9499999999999997	38.37	58.67
p1k_01030	3.92	38.96	57.120000000000005
p1k_01031	2.02	41.65	56.34
p1k_01032	2.74	43.62	53.64
p1k_01033	3.1	43.14	53.76
p1k_01034	2.1999999999999997	42.01	55.78999999999999
p1k_01035	2.82	37.08	60.099999999999994
p1k_01036	2.1	43.3	54.6
p1k_01037	2.36	44.3	53.349999999999994
p1k_01038	2.52	43.41	54.08
p1k_01039	2.4299999999999997	43.45	54.13
p1k_01040	2.36	40.64	57.010000000000005
p1k_01041	3.49	43.580000000000005	52.92
p1k_01042	3.82	42.72	53.459999999999994
p1k_01043	2.82	39.1	58.07
p1k_01044	2.96	36.3	60.74
p1k_01045	2.36	44.75	52.89
p1k_01046	2.06	44.62	53.33
p1k_01047	1.91	44.01	54.08
p1k_01048	2.01	43.86	54.13
p1k_01049	2.36	44.95	52.7
p1k_01050	2.1	44.330000000000005	53.56999999999999
p1k_01051	2.08	43.96	53.959999999999994
p1k_01052	2.58	42.77	54.65
p1k_01053	3.01	43.120000000000005	53.87
p1k_01054	2.5700000000000003	39.589999999999996	57.85
p1k_01055	3.11	41.07	55.82
