Sample	Unique Reads	Duplicate Reads
p1k_00736	1590467.0	6681659.0
p1k_00737	1707366.0	4459124.0
p1k_00738	1756991.0	5295460.0
p1k_00739	1523713.0	4172510.0
p1k_00740	1419245.0	3571012.0
p1k_00741	1644999.0	4764203.0
p1k_00742	1670993.0	4934066.0
p1k_00743	1665883.0	5827905.0
p1k_00744	1336538.0	5444954.0
p1k_00745	1290142.0	4510142.0
p1k_00746	1352874.0	5145809.0
p1k_00747	1436883.0	6146061.0
p1k_00748	1422067.0	6078845.0
p1k_00749	1267315.0	5980977.0
p1k_00750	1423745.0	6100942.0
p1k_00751	1371078.0	5567614.0
p1k_00752	1313368.0	5106327.0
p1k_00753	1551679.0	6238073.0
p1k_00754	1407050.0	5282328.0
p1k_00755	1406033.0	5560715.0
p1k_00756	1441572.0	5803267.0
p1k_00757	1430867.0	6057104.0
p1k_00758	1461515.0	5702275.0
p1k_00759	1540261.0	6709218.0
p1k_00760	1546107.0	6718051.0
p1k_00761	1703636.0	6247904.0
p1k_00762	1581208.0	5132805.0
p1k_00763	1388108.0	5151318.0
p1k_00764	1422500.0	5144052.0
p1k_00765	1396056.0	5400352.0
p1k_00766	1428833.0	3914771.0
p1k_00767	1773979.0	5129058.0
p1k_00768	1280187.0	3363444.0
p1k_00769	1799383.0	5207235.0
p1k_00770	1721299.0	4840062.0
p1k_00771	2342287.0	7587246.0
p1k_00772	2098513.0	6127737.0
p1k_00773	2096349.0	5324196.0
p1k_00774	2087266.0	5201063.0
p1k_00775	2358768.0	7585156.0
p1k_00776	2378465.0	7385713.0
p1k_00777	2074280.0	4698147.0
p1k_00778	1966929.0	5674296.0
p1k_00779	2331621.0	7201012.0
p1k_00780	2127644.0	6346850.0
p1k_00781	2643575.0	8257781.0
p1k_00782	2264476.0	6649355.0
p1k_00783	2439875.0	8172367.0
p1k_00784	2270265.0	6853562.0
p1k_00785	2307698.0	6156609.0
p1k_00786	2449501.0	6550655.0
p1k_00787	2046352.0	5678551.0
p1k_00788	2244861.0	6631863.0
p1k_00789	2099883.0	5082549.0
p1k_00790	2464829.0	7130782.0
p1k_00791	756506.0	3621391.0
p1k_00792	951213.0	3322892.0
p1k_00793	718162.0	3488588.0
p1k_00794	827874.0	5308299.0
p1k_00795	2159404.0	10700032.0
p1k_00796	2418553.0	10802158.0
p1k_00797	1383257.0	5543700.0
p1k_00798	1536523.0	5980413.0
p1k_00799	1605414.0	5689896.0
p1k_00800	1795016.0	6110582.0
p1k_00801	1504175.0	4516021.0
p1k_00802	1573557.0	5853436.0
p1k_00803	1955063.0	8456016.0
p1k_00804	1798638.0	8621051.0
p1k_00805	2184742.0	9595744.0
p1k_00806	2756111.0	13889854.0
p1k_00807	2023856.0	7937716.0
p1k_00808	2316205.0	9444467.0
p1k_00809	2034278.0	9093413.0
p1k_00810	2538072.0	12021140.0
p1k_00811	2005094.0	9263931.0
p1k_00812	2160044.0	9946660.0
p1k_00813	2164663.0	9798386.0
p1k_00814	2658615.0	13010309.0
p1k_00815	2252783.0	9415482.0
p1k_00816	2143372.0	9706875.0
p1k_00817	1892133.0	8363419.0
p1k_00818	2326619.0	11370393.0
p1k_00819	2174037.0	9220347.0
p1k_00820	1745024.0	7277008.0
p1k_00821	205814.0	1987608.0
p1k_00822	287993.0	3331818.0
p1k_00823	159106.0	1385634.0
p1k_00824	224066.0	2053685.0
p1k_00825	188492.0	2709623.0
p1k_00826	1690259.0	11347153.0
p1k_00827	2035814.0	16940162.0
p1k_00828	2074542.0	10554943.0
p1k_00829	1889959.0	7871037.0
p1k_00830	1849316.0	8766421.0
p1k_00831	1493347.0	6229687.0
p1k_00832	1539450.0	7309399.0
p1k_00833	1498293.0	6811252.0
p1k_00834	1505363.0	7602744.0
p1k_00835	1608874.0	7948082.0
p1k_00836	2157292.0	11598386.0
p1k_00837	2020398.0	11116215.0
p1k_00838	1682801.0	8258662.0
p1k_00839	1142019.0	3835218.0
p1k_00840	1343462.0	7840869.0
p1k_00841	1744394.0	11847453.0
p1k_00842	1111361.0	3910235.0
p1k_00843	1975909.0	10959527.0
p1k_00844	1580954.0	5556619.0
p1k_00845	1776391.0	6287871.0
p1k_00846	1429796.0	6460732.0
p1k_00847	1596104.0	7782340.0
p1k_00848	2317753.0	15082674.0
p1k_00849	1994512.0	12436759.0
p1k_00850	1614609.0	7630348.0
p1k_00851	1802784.0	8189938.0
p1k_00852	1587870.0	7757802.0
p1k_00853	1565588.0	8607056.0
p1k_00854	2644494.0	12225423.0
p1k_00855	2039866.0	8364229.0
p1k_00856	1482600.0	6800714.0
p1k_00857	8726942.0	111762444.0
p1k_00858	1578912.0	6552860.0
p1k_00859	1546771.0	7322675.0
p1k_00860	2341882.0	10986212.0
p1k_00861	2408715.0	9560363.0
p1k_00862	1792585.0	7628300.0
p1k_00863	1947705.0	8996224.0
p1k_00864	1740822.0	7393298.0
p1k_00865	1740194.0	8341603.0
p1k_00866	2112300.0	9846833.0
p1k_00867	2108806.0	10440300.0
p1k_00868	1544627.0	5916847.0
p1k_00869	1513266.0	6416414.0
p1k_00870	1814407.0	6594186.0
p1k_00871	1227953.0	3472339.0
p1k_00872	2853234.0	17200634.0
p1k_00873	1817526.0	8624816.0
p1k_00874	1675505.0	7266285.0
p1k_00875	1660014.0	7672108.0
p1k_00876	1414518.0	6336210.0
p1k_00877	5645394.0	73445171.0
p1k_00878	2064180.0	10308262.0
p1k_00879	2785755.0	16824092.0
p1k_00880	2182501.0	9551391.0
p1k_00881	1970116.0	8235637.0
p1k_00882	2288798.0	10457467.0
p1k_00883	2359408.0	11196513.0
p1k_00884	2474902.0	10321613.0
p1k_00885	2301408.0	9592185.0
p1k_00886	2031939.0	10156626.0
p1k_00887	1860040.0	11154981.0
p1k_00888	1622669.0	11005254.0
p1k_00889	1383047.0	15221839.0
p1k_00890	2159380.0	7960725.0
p1k_00891	1912507.0	6810773.0
p1k_00892	1190142.0	3814442.0
p1k_00893	1434701.0	5083190.0
p1k_00894	1305410.0	3818422.0
p1k_00895	1413892.0	4390811.0
p1k_00896	1386931.0	4941783.0
p1k_00897	1483083.0	4668420.0
p1k_00898	1498478.0	4530709.0
p1k_00899	1514834.0	4877209.0
p1k_00900	1443814.0	4261201.0
p1k_00901	1122341.0	3665058.0
p1k_00902	1471261.0	4008943.0
p1k_00903	1535728.0	4429391.0
p1k_00904	1495077.0	4099839.0
p1k_00905	1952346.0	6293432.0
p1k_00906	1711447.0	7967032.0
p1k_00907	1865515.0	9336729.0
p1k_00908	1197795.0	8459902.0
p1k_00909	1252105.0	7013335.0
p1k_00910	2002287.0	6577723.0
p1k_00911	2424793.0	9381464.0
p1k_00912	1340363.0	7409940.0
p1k_00913	1414529.0	7873056.0
p1k_00914	1782544.0	7402889.0
p1k_00915	1889506.0	6931706.0
p1k_00916	1412311.0	6848959.0
p1k_00917	1560359.0	9476271.0
p1k_00918	1463247.0	8384200.0
p1k_00919	1318736.0	6500777.0
p1k_00920	2144584.0	8104932.0
p1k_00921	1985381.0	4266910.0
p1k_00922	2867104.0	12399885.0
p1k_00923	2921199.0	14148123.0
p1k_00924	3453228.0	12091029.0
p1k_00925	3476959.0	12536604.0
p1k_00926	2890424.0	12250047.0
p1k_00927	2823926.0	11913414.0
p1k_00928	3044030.0	14230531.0
p1k_00929	2542482.0	11631324.0
p1k_00930	789590.0	916939.0
p1k_00931	649127.0	654007.0
p1k_00932	1463387.0	4318424.0
p1k_00933	1316286.0	3113009.0
p1k_00934	973835.0	2628196.0
p1k_00935	1058314.0	3374902.0
p1k_00936	868722.0	3306854.0
p1k_00937	1158440.0	6729202.0
p1k_00938	436096.0	1168086.0
p1k_00939	583810.0	2034493.0
p1k_00940	711567.0	1050367.0
p1k_00941	502755.0	602517.0
p1k_00942	1880252.0	9592289.0
p1k_00943	816661.0	2500518.0
p1k_00944	856534.0	1825841.0
p1k_00945	873345.0	2120767.0
p1k_00946	878547.0	2916675.0
p1k_00947	1426361.0	5183897.0
p1k_00948	1177114.0	3968932.0
p1k_00949	1334005.0	4594797.0
p1k_00950	2236601.0	8382531.0
p1k_00951	1043184.0	2788726.0
p1k_00952	663186.0	2101550.0
p1k_00953	1477700.0	5937756.0
p1k_00954	1748564.0	6391619.0
p1k_00955	1579483.0	5408342.0
p1k_00956	1082426.0	3060631.0
p1k_00957	1056412.0	4109940.0
p1k_00958	2047898.0	10051557.0
p1k_00959	540659.0	912318.0
p1k_00960	657203.0	1104207.0
p1k_00961	2391772.0	10060397.0
p1k_00962	580503.0	1851152.0
p1k_00963	430515.0	1023698.0
p1k_00964	620327.0	1169224.0
p1k_00965	805342.0	1930933.0
p1k_00966	902761.0	1114536.0
p1k_00967	2192459.0	11538511.0
p1k_00968	876140.0	2585223.0
p1k_00969	1073931.0	2939238.0
p1k_00970	944972.0	2601897.0
p1k_00971	1088023.0	3393960.0
p1k_00972	1768939.0	8451900.0
p1k_00973	1314518.0	5583732.0
p1k_00974	615965.0	1199048.0
p1k_00975	1281586.0	4145534.0
p1k_00976	600046.0	1530091.0
p1k_00977	1293306.0	4393496.0
p1k_00978	1469804.0	5165561.0
p1k_00979	1353661.0	4616998.0
p1k_00980	1326468.0	4661686.0
p1k_00981	1087401.0	4462022.0
p1k_00982	547810.0	1016932.0
p1k_00983	1147884.0	3732938.0
p1k_00984	1021940.0	2504879.0
p1k_00985	723473.0	2779741.0
p1k_00986	862170.0	1911637.0
p1k_00987	967130.0	2592093.0
p1k_00988	2264368.0	9452194.0
p1k_00989	491565.0	625012.0
p1k_00990	600083.0	1278218.0
p1k_00991	2246843.0	11525578.0
p1k_00992	1101693.0	2960282.0
p1k_00993	961983.0	1447605.0
p1k_00994	638163.0	1995245.0
p1k_00995	985167.0	4829613.0
p1k_00996	667072.0	921829.0
p1k_00997	2489147.0	10980198.0
p1k_00998	2038980.0	9232168.0
p1k_00999	910187.0	1690192.0
p1k_01000	2298050.0	12300206.0
p1k_01001	1339083.0	3798739.0
p1k_01002	1930006.0	6509704.0
p1k_01003	802205.0	1582501.0
p1k_01004	742774.0	1984393.0
p1k_01005	714294.0	2198288.0
p1k_01006	773097.0	1909479.0
p1k_01007	1031224.0	3181520.0
p1k_01008	2043383.0	8572487.0
p1k_01009	1148122.0	2480581.0
p1k_01010	984834.0	2926126.0
p1k_01011	789729.0	1819656.0
p1k_01012	816082.0	1560012.0
p1k_01013	1059569.0	2441624.0
p1k_01014	575898.0	1515925.0
p1k_01015	732843.0	2111069.0
p1k_01016	727285.0	1545885.0
p1k_01017	1718148.0	7539696.0
p1k_01018	878245.0	1466935.0
p1k_01019	745161.0	1575538.0
p1k_01020	1217311.0	4970717.0
p1k_01021	471674.0	1217810.0
p1k_01022	696167.0	1443176.0
p1k_01023	824678.0	1959001.0
p1k_01024	557363.0	1525016.0
p1k_01025	792528.0	2260685.0
p1k_01026	686279.0	1903256.0
p1k_01027	824825.0	1881690.0
p1k_01028	673724.0	1387932.0
p1k_01029	782434.0	1774380.0
p1k_01030	916376.0	2312967.0
p1k_01031	1864952.0	8951473.0
p1k_01032	1240246.0	2839058.0
p1k_01033	1423567.0	3134888.0
p1k_01034	1066475.0	3484450.0
p1k_01035	519286.0	1144424.0
p1k_01036	1066386.0	2370785.0
p1k_01037	1142325.0	2884779.0
p1k_01038	788843.0	1958564.0
p1k_01039	491550.0	728209.0
p1k_01040	509810.0	1267240.0
p1k_01041	821573.0	1843930.0
p1k_01042	931749.0	2207921.0
p1k_01043	934979.0	2162795.0
p1k_01044	642313.0	1944700.0
p1k_01045	760525.0	1933522.0
p1k_01046	950223.0	2110070.0
p1k_01047	1433555.0	4531376.0
p1k_01048	703337.0	1389938.0
p1k_01049	615269.0	1342340.0
p1k_01050	307103.0	647366.0
p1k_01051	307390.0	651828.0
p1k_01052	611221.0	1424071.0
p1k_01053	830723.0	1803767.0
p1k_01054	942843.0	4057260.0
p1k_01055	889543.0	2460982.0
