Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
p1k_00247	p1k_00247_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3774797.0	0.0	20-35	52.0	29.31514072384803	34.59571839227381	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass
p1k_00248	p1k_00248_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4051844.0	0.0	20-35	52.0	27.913908635358503	34.596666357342485	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass
p1k_00249	p1k_00249_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4283486.0	0.0	20-35	51.0	28.30199527064326	34.585699824862274	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass
p1k_00250	p1k_00250_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4304088.0	0.0	20-35	51.0	25.815898688437343	34.51995567934485	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
p1k_00251	p1k_00251_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4063187.0	0.0	20-35	51.0	28.137617891593074	34.49790693856817	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
p1k_00252	p1k_00252_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3738425.0	0.0	20-35	52.0	30.057222074125615	34.6004523295238	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass
p1k_00253	p1k_00253_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3353903.0	0.0	20-35	51.0	29.054302620368272	34.59525871797723	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass
p1k_00254	p1k_00254_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4384753.0	0.0	20-35	50.0	24.091579129993328	34.5055119410375	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
p1k_00255	p1k_00255_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11179459.0	0.0	20-101	50.0	19.764320657902164	99.5606064658406	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
p1k_00256	p1k_00256_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10156369.0	0.0	20-101	51.0	17.289079378532602	99.78549578102174	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass
p1k_00257	p1k_00257_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11323843.0	0.0	20-101	51.0	15.094426468497712	99.78826675714242	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
p1k_00258	p1k_00258_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11281471.0	0.0	20-101	51.0	15.028384822554603	99.79692914159864	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
p1k_00259	p1k_00259_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6889902.0	0.0	20-101	51.0	22.358663028482066	99.7715456620428	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
p1k_00260	p1k_00260_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8685781.0	0.0	20-101	51.0	22.91964260571577	99.51985595768532	pass	pass		pass	warn	pass	pass	warn	fail	fail	pass
p1k_00261	p1k_00261_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7914983.0	0.0	20-101	51.0	23.050541096878224	99.51325580863535	pass	pass		pass	warn	warn	pass	warn	fail	fail	pass
p1k_00262	p1k_00262_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8045404.0	0.0	20-101	52.0	20.876290482542665	99.79132085846777	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
p1k_00263	p1k_00263_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7256324.0	0.0	20-101	51.0	22.159675332118606	99.79145418534233	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
p1k_00264	p1k_00264_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7300249.0	0.0	20-101	51.0	25.49527523758955	99.48866045528037	pass	pass		pass	warn	warn	pass	warn	fail	warn	pass
p1k_00265	p1k_00265_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7413850.0	0.0	20-101	51.0	27.28297897248899	99.45833703136697	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
p1k_00266	p1k_00266_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8820171.0	0.0	20-101	52.0	21.31898681068726	99.80136575583398	pass	pass		pass	warn	pass	pass	warn	fail	warn	pass
p1k_00267	p1k_00267_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10316516.0	0.0	20-101	52.0	17.304885818186833	99.79577814835939	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
p1k_00268	p1k_00268_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10591198.0	0.0	20-101	51.0	16.808498796061492	99.79258871376024	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
p1k_00269	p1k_00269_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11445444.0	0.0	20-101	51.0	13.743041584275485	99.78371428841031	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
p1k_00270	p1k_00270_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10634291.0	0.0	20-101	50.0	20.13095206412993	99.57663900677535	pass	pass		pass	warn	pass	pass	warn	fail	fail	pass
p1k_00271	p1k_00271_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8629795.0	0.0	20-98	51.0	61.284056486239066	96.7778472142154	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
p1k_00272	p1k_00272_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9421504.0	0.0	20-98	52.0	58.41459986795089	97.25188292654761	pass	pass	warn	pass	fail	pass	pass	warn	warn	pass	pass
p1k_00273	p1k_00273_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9058324.0	0.0	20-98	52.0	57.64991202709514	97.21460835359831	pass	pass	warn	pass	fail	pass	pass	warn	warn	pass	pass
p1k_00274	p1k_00274_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7602434.0	0.0	20-98	52.0	54.88497950562606	96.73868474228122	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
p1k_00275	p1k_00275_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8435602.0	0.0	20-101	51.0	25.0634441064828	99.33411628476544	pass	pass	fail	pass	warn	pass	pass	warn	fail	warn	pass
p1k_00276	p1k_00276_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10522551.0	0.0	20-101	51.0	17.790077531470757	99.77160766433919	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00277	p1k_00277_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7851432.0	0.0	20-101	51.0	19.372601337024392	99.7689221533091	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00278	p1k_00278_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8808199.0	0.0	20-101	51.0	18.715492332715456	99.7630110309724	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00279	p1k_00279_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6085952.0	0.0	20-101	51.0	22.292692070723692	99.71538815948598	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
p1k_00280	p1k_00280_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8723810.0	0.0	20-101	51.0	21.476474202665415	99.75814879049406	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
p1k_00281	p1k_00281_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11759799.0	0.0	20-51	52.0	20.33534036054541	50.5740963769874	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
p1k_00282	p1k_00282_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16639463.0	0.0	20-51	52.0	18.916017891659433	50.51817026787463	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
p1k_00283	p1k_00283_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10561908.0	0.0	20-101	50.0	21.073051744836178	99.51605543240862	pass	pass	fail	pass	warn	pass	pass	warn	fail	warn	pass
p1k_00284	p1k_00284_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10769241.0	0.0	20-101	51.0	15.993101882552754	99.79731644969223	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
p1k_00285	p1k_00285_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20061908.0	0.0	20-100	51.0	13.916025129621582	99.26995757332752	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00286	p1k_00286_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10609445.0	0.0	20-101	50.0	21.902028828117285	99.54471774913767	pass	pass	pass	pass	warn	warn	pass	warn	fail	fail	pass
p1k_00287	p1k_00287_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7859209.0	0.0	20-101	50.0	22.49128785478969	99.56259898419803	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
p1k_00288	p1k_00288_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10229661.0	0.0	20-101	50.0	20.622919896072638	99.56081868206581	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
p1k_00289	p1k_00289_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9090593.0	0.0	20-101	50.0	20.219464720667464	99.54950529629916	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
p1k_00290	p1k_00290_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8822119.0	0.0	20-101	51.0	17.925602322438987	99.79305039979624	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00291	p1k_00291_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10090190.0	0.0	20-101	51.0	16.132088356650012	99.79703791504421	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
p1k_00292	p1k_00292_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10220877.0	0.0	20-101	50.0	22.291832658792764	99.54535603940836	pass	pass	pass	pass	warn	warn	pass	warn	fail	fail	pass
p1k_00293	p1k_00293_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9361165.0	0.0	20-100	50.0	33.304368332955235	98.95269189251552	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
p1k_00294	p1k_00294_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6869528.0	0.0	20-100	51.0	21.703049550751008	99.25061343370317	pass	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass
p1k_00295	p1k_00295_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9096986.0	0.0	20-101	51.0	17.003898147669464	99.78809003333632	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00296	p1k_00296_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7142730.0	0.0	20-101	50.0	24.019495324265293	99.59716550954607	pass	pass	fail	pass	warn	pass	pass	warn	fail	warn	pass
p1k_00297	p1k_00297_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11594598.0	0.0	20-101	51.0	16.9760561004758	99.57027263903414	pass	pass	fail	pass	warn	pass	pass	warn	fail	warn	pass
p1k_00298	p1k_00298_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7123134.0	0.0	20-101	51.0	22.959193549364056	99.54544137454104	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
p1k_00299	p1k_00299_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10465973.0	0.0	20-100	51.0	20.29276998048854	98.97845427271788	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00300	p1k_00300_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7606167.0	0.0	20-101	52.0	19.575676792524174	99.79330035745994	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00301	p1k_00301_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8240890.0	0.0	20-101	51.0	19.11962497724336	99.79312040325742	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
p1k_00302	p1k_00302_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9504145.0	0.0	20-101	50.0	20.715652359661757	99.59816206507791	pass	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
p1k_00303	p1k_00303_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9745432.0	0.0	20-101	50.0	20.992328022980757	99.59285499093319	pass	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
p1k_00304	p1k_00304_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9627733.0	0.0	20-101	51.0	17.717682666659787	99.78993767276263	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
p1k_00305	p1k_00305_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10943070.0	0.0	20-101	51.0	14.85370521878513	99.78964403956111	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
p1k_00306	p1k_00306_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11671960.0	0.0	20-101	50.0	19.75950721744197	99.58430135127263	pass	pass	pass	pass	warn	warn	pass	warn	fail	fail	pass
p1k_00307	p1k_00307_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8803430.0	0.0	20-101	51.0	22.672059380553275	99.52866144218787	pass	pass	fail	pass	warn	pass	pass	warn	fail	warn	pass
p1k_00308	p1k_00308_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7824323.0	0.0	20-101	51.0	23.88396998435627	99.53225295019135	pass	pass	fail	pass	warn	pass	pass	warn	fail	warn	pass
p1k_00309	p1k_00309_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9522278.0	0.0	20-101	51.0	20.69031746595868	99.57296457843385	pass	pass	fail	pass	warn	pass	pass	warn	fail	warn	pass
p1k_00310	p1k_00310_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8910007.0	0.0	21-101	51.0	17.259477023552957	99.78480802540335	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00311	p1k_00311_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8588339.0	0.0	21-101	51.0	18.956975347875098	99.77500026489406	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00312	p1k_00312_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10455068.0	0.0	20-101	51.0	20.205182162064723	99.56135397684645	pass	pass	fail	pass	warn	pass	pass	warn	fail	warn	pass
p1k_00313	p1k_00313_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6949550.0	0.0	20-101	51.0	24.003708203457713	99.57683821254614	pass	pass	fail	pass	warn	pass	pass	warn	fail	warn	pass
p1k_00314	p1k_00314_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6725966.0	0.0	20-101	52.0	22.453164970361552	99.77089209193147	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00315	p1k_00315_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9868993.0	0.0	20-101	51.0	19.52741711943161	99.77986771294701	pass	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass
p1k_00316	p1k_00316_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9295099.0	0.0	20-101	51.0	22.685501513400066	99.5595474561379	pass	pass	fail	pass	warn	pass	pass	warn	fail	warn	pass
p1k_00317	p1k_00317_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12746265.0	0.0	20-40	50.0	19.08809563582262	39.33562671104045	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00318	p1k_00318_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13555921.0	0.0	20-40	50.0	18.46459796140822	39.33532918936309	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00319	p1k_00319_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9400090.0	0.0	20-40	49.0	21.47341701115414	38.90353858314123	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00320	p1k_00320_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10765722.0	0.0	20-40	50.0	19.265209349949135	38.95402352020608	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00321	p1k_00321_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12796515.0	0.0	20-40	51.0	18.580558495614053	39.43556241679864	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00322	p1k_00322_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11893593.0	0.0	20-40	49.0	19.349976319455777	38.912789768407244	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00323	p1k_00323_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12065303.0	0.0	20-40	49.0	19.662398470943653	38.914472682534374	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00324	p1k_00324_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15739502.0	0.0	20-40	51.0	16.5945412886221	38.95357146623826	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00325	p1k_00325_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12540221.0	0.0	20-40	51.0	17.52617606747488	38.95147222684513	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00326	p1k_00326_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13944061.0	0.0	20-40	50.0	17.837897022728356	39.34797925797944	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00327	p1k_00327_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12675480.0	0.0	20-40	49.0	20.79546456265478	38.87815293779801	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00328	p1k_00328_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11377830.0	0.0	20-40	50.0	19.8044064128048	39.33660645307585	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00329	p1k_00329_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12035471.0	0.0	20-40	49.0	18.118128798856738	38.90953798152145	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00330	p1k_00330_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10637706.0	0.0	20-40	51.0	19.61330582697168	39.4283793893157	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00331	p1k_00331_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10303454.0	0.0	20-40	51.0	19.00951942203775	38.942802772740094	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00332	p1k_00332_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10260321.0	0.0	20-40	49.0	19.974742233879354	38.90418214011043	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00333	p1k_00333_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11863638.0	0.0	20-40	50.0	18.206703384162832	39.32194921996103	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00334	p1k_00334_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11304756.0	0.0	20-40	51.0	18.293254294139118	38.937828379489126	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00335	p1k_00335_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11335334.0	0.0	20-40	51.0	18.290679172929217	38.936695733888385	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00336	p1k_00336_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11738874.0	0.0	20-40	50.0	18.87004754934375	39.32516227706337	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00337	p1k_00337_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11675169.0	0.0	20-40	49.0	18.407367886851304	38.91064309218993	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
p1k_00338	p1k_00338_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9622239.0	0.0	20-40	49.0	19.81642195657183	38.90774735485161	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
p1k_00339	p1k_00339_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10447942.0	0.0	20-40	49.0	19.419441784419668	38.90911301000714	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00340	p1k_00340_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12381119.0	0.0	20-40	51.0	17.617014179554214	38.93880900425882	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00341	p1k_00341_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14156482.0	0.0	20-40	51.0	18.554843961553388	39.5419366195641	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00342	p1k_00342_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12694918.0	0.0	20-40	49.0	18.10243998234108	39.43833028303137	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00343	p1k_00343_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11360171.0	0.0	20-40	49.0	19.454166987731153	39.42786054893012	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00344	p1k_00344_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11514559.0	0.0	20-40	51.0	19.51284456448406	39.54286178046419	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00345	p1k_00345_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13647334.0	0.0	20-40	51.0	19.946009065398503	39.48637792553476	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00346	p1k_00346_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13454080.0	0.0	20-40	50.0	19.198165151508675	39.4684453340548	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00347	p1k_00347_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13503944.0	0.0	20-40	50.0	17.70248065605537	39.511391560865476	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00348	p1k_00348_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13830636.0	0.0	20-40	50.0	17.071047212134516	39.51083695644944	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00349	p1k_00349_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9348263.0	0.0	20-40	49.0	18.638652294736264	39.53511951899513	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00350	p1k_00350_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8806983.0	0.0	20-40	51.0	20.88258043436188	39.56968430619203	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00351	p1k_00351_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8207460.0	0.0	20-40	51.0	20.48428910324704	39.573858782132355	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00352	p1k_00352_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8423964.0	0.0	20-40	49.0	19.701163687940245	39.47283582883308	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00353	p1k_00353_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9272073.0	0.0	20-40	49.0	18.33312618483621	39.47279286951257	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00354	p1k_00354_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8489120.0	0.0	20-40	50.0	20.313370139128125	39.514173436115875	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00355	p1k_00355_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7291667.0	0.0	20-40	51.0	21.320176788210624	39.569919196803696	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00356	p1k_00356_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7826128.0	0.0	20-40	49.0	20.13282097917155	39.47285260348412	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00357	p1k_00357_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5828647.0	0.0	20-40	49.0	22.462942038593145	39.522635699159686	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00358	p1k_00358_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12414880.0	0.0	20-40	49.0	14.429148314851762	39.52637206320158	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00359	p1k_00359_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6393882.0	0.0	20-40	49.0	17.916147878549225	39.48204392886825	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00360	p1k_00360_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11458657.0	0.0	20-40	50.0	13.486062514706942	39.566439243272576	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00361	p1k_00361_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6409073.0	0.0	20-40	52.0	12.17828501371291	39.58471576154617	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
p1k_00362	p1k_00362_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6545363.0	0.0	20-40	49.0	16.58438953081028	39.498412540297615	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00363	p1k_00363_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12429769.0	0.0	20-40	48.0	13.432751300526007	39.52136013147147	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00364	p1k_00364_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7238904.0	0.0	20-40	50.0	19.77690578233267	39.57360810421025	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00365	p1k_00365_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8478984.0	0.0	20-40	51.0	16.212279716748938	39.56718670538829	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00366	p1k_00366_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7876928.0	0.0	20-40	49.0	16.09772853837216	39.523744282034826	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
p1k_00367	p1k_00367_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10298251.0	0.0	20-40	49.0	13.114921104067742	39.50964255969291	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
p1k_00368	p1k_00368_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10432411.0	0.0	20-40	49.0	13.424804363502163	39.51317610090323	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
