Sample	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage
p1k_00435	9437170.0	9094592.0	96.37	342578.0	3.63
p1k_00436	10324862.0	9822209.0	95.13	502653.0	4.87
p1k_00437	10867607.0	10535389.0	96.94	332218.0	3.06
p1k_00438	11237592.0	10926023.0	97.23	311569.0	2.77
p1k_00439	5886194.0	5305125.0	90.13	581069.0	9.87
p1k_00440	7744456.0	7019090.0	90.63	725366.0	9.37
p1k_00441	13890833.0	13523610.0	97.36	367223.0	2.64
p1k_00442	13143074.0	12797086.0	97.37	345988.0	2.63
p1k_00443	10848465.0	10559101.0	97.33	289364.0	2.67
p1k_00444	11619660.0	11301993.0	97.27	317667.0	2.73
p1k_00445	13337357.0	13064275.0	97.95	273082.0	2.05
p1k_00446	13509964.0	13202861.0	97.73	307103.0	2.27
p1k_00447	14566187.0	14169414.0	97.28	396773.0	2.72
p1k_00448	14544695.0	14256022.0	98.02	288673.0	1.98
p1k_00449	13563610.0	13348188.0	98.41	215422.0	1.59
p1k_00450	12598616.0	12332978.0	97.89	265638.0	2.11
p1k_00451	13698690.0	13453125.0	98.21	245565.0	1.79
p1k_00452	12358356.0	12154222.0	98.35	204134.0	1.65
p1k_00453	14569648.0	14331700.0	98.37	237948.0	1.63
p1k_00454	13556549.0	13271273.0	97.9	285276.0	2.1
p1k_00455	7623231.0	7513066.0	98.55	110165.0	1.45
p1k_00456	7614677.0	7514014.0	98.68	100663.0	1.32
p1k_00457	7516739.0	7410045.0	98.58	106694.0	1.42
p1k_00458	7115320.0	7016782.0	98.62	98538.0	1.38
p1k_00459	11583028.0	11400103.0	98.42	182925.0	1.58
p1k_00460	13307088.0	13109137.0	98.51	197951.0	1.49
p1k_00461	11469357.0	11237061.0	97.97	232296.0	2.03
p1k_00462	10580509.0	10365466.0	97.97	215043.0	2.03
p1k_00463	13353448.0	13146386.0	98.45	207062.0	1.55
p1k_00464	13328276.0	13117835.0	98.42	210441.0	1.58
p1k_00465	7703079.0	7585339.0	98.47	117740.0	1.53
p1k_00466	7690433.0	7583414.0	98.61	107019.0	1.39
p1k_00467	8244044.0	8120860.0	98.51	123184.0	1.49
p1k_00468	7528129.0	7412959.0	98.47	115170.0	1.53
p1k_00469	9785663.0	9626409.0	98.37	159254.0	1.63
p1k_00470	11090456.0	10940775.0	98.65	149681.0	1.35
p1k_00471	14169157.0	13962293.0	98.54	206864.0	1.46
p1k_00472	11947659.0	11757137.0	98.41	190522.0	1.59
p1k_00473	10444460.0	10277480.0	98.4	166980.0	1.6
p1k_00474	9429332.0	9295765.0	98.58	133567.0	1.42
p1k_00475	9510226.0	9359069.0	98.41	151157.0	1.59
p1k_00476	10844553.0	10685389.0	98.53	159164.0	1.47
p1k_00477	12287307.0	11995413.0	97.62	291894.0	2.38
p1k_00478	14727358.0	14398283.0	97.77	329075.0	2.23
p1k_00479	15169370.0	14814808.0	97.66	354562.0	2.34
p1k_00480	13119157.0	12839979.0	97.87	279178.0	2.13
p1k_00481	7480186.0	7399508.0	98.92	80678.0	1.08
p1k_00482	7090734.0	6986084.0	98.52	104650.0	1.48
p1k_00483	6685041.0	6594497.0	98.65	90544.0	1.35
p1k_00484	7339928.0	7246946.0	98.73	92982.0	1.27
p1k_00485	14573386.0	14130208.0	96.96	443178.0	3.04
p1k_00486	14670842.0	14431131.0	98.37	239711.0	1.63
p1k_00487	14953024.0	14651963.0	97.99	301061.0	2.01
p1k_00488	15725919.0	15454064.0	98.27	271855.0	1.73
p1k_00489	11324370.0	11126483.0	98.25	197887.0	1.75
p1k_00490	10069438.0	9910408.0	98.42	159030.0	1.58
p1k_00491	12001017.0	11829918.0	98.57	171099.0	1.43
p1k_00492	9898564.0	9766576.0	98.67	131988.0	1.33
p1k_00493	11436004.0	11260505.0	98.47	175499.0	1.53
p1k_00494	11495831.0	11289912.0	98.21	205919.0	1.79
p1k_00495	8314883.0	8208884.0	98.73	105999.0	1.27
p1k_00496	7353093.0	7260265.0	98.74	92828.0	1.26
p1k_00497	8401811.0	8304916.0	98.85	96895.0	1.15
p1k_00498	8720667.0	8613065.0	98.77	107602.0	1.23
p1k_00499	6605665.0	6493490.0	98.3	112175.0	1.7
p1k_00500	5303592.0	5202436.0	98.09	101156.0	1.91
p1k_00501	12984493.0	12787557.0	98.48	196936.0	1.52
p1k_00502	12675262.0	12415815.0	97.95	259447.0	2.05
p1k_00503	12470168.0	12233808.0	98.1	236360.0	1.9
p1k_00504	11931101.0	11675522.0	97.86	255579.0	2.14
p1k_00505	14788410.0	14452451.0	97.73	335959.0	2.27
p1k_00506	15409313.0	15062453.0	97.75	346860.0	2.25
p1k_00507	10690330.0	10534022.0	98.54	156308.0	1.46
p1k_00508	10880012.0	10715218.0	98.49	164794.0	1.51
p1k_00509	14421088.0	14187882.0	98.38	233206.0	1.62
p1k_00510	13703333.0	13450443.0	98.15	252890.0	1.85
p1k_00511	5672279.0	5346226.0	94.25	326053.0	5.75
p1k_00512	6250082.0	5931693.0	94.91	318389.0	5.09
p1k_00513	4663478.0	4453314.0	95.49	210164.0	4.51
p1k_00514	4625642.0	4377840.0	94.64	247802.0	5.36
p1k_00515	6942437.0	6527756.0	94.03	414681.0	5.97
p1k_00516	11229760.0	10574426.0	94.16	655334.0	5.84
p1k_00517	8658122.0	8197837.0	94.68	460285.0	5.32
p1k_00518	7315571.0	7081729.0	96.8	233842.0	3.2
p1k_00519	7371565.0	7133796.0	96.77	237769.0	3.23
p1k_00520	8153576.0	7880875.0	96.66	272701.0	3.34
p1k_00521	7769443.0	7529672.0	96.91	239771.0	3.09
p1k_00522	8380758.0	8180501.0	97.61	200257.0	2.39
p1k_00523	9597278.0	9359128.0	97.52	238150.0	2.48
p1k_00524	7029363.0	6834798.0	97.23	194565.0	2.77
p1k_00525	7203023.0	7023761.0	97.51	179262.0	2.49
p1k_00526	11266448.0	10951963.0	97.21	314485.0	2.79
p1k_00527	12315842.0	11977166.0	97.25	338676.0	2.75
p1k_00528	9062586.0	8844085.0	97.59	218501.0	2.41
p1k_00529	9679652.0	9476736.0	97.9	202916.0	2.1
p1k_00530	8034620.0	7830014.0	97.45	204606.0	2.55
p1k_00531	9907303.0	9629895.0	97.2	277408.0	2.8
p1k_00532	7582579.0	7428564.0	97.97	154015.0	2.03
p1k_00533	7581174.0	7424989.0	97.94	156185.0	2.06
p1k_00534	7765889.0	7577726.0	97.58	188163.0	2.42
p1k_00535	7670862.0	7519602.0	98.03	151260.0	1.97
p1k_00536	8622168.0	8409864.0	97.54	212304.0	2.46
p1k_00537	7940246.0	7781547.0	98.0	158699.0	2.0
p1k_00538	8850739.0	8589579.0	97.05	261160.0	2.95
p1k_00539	13821857.0	13570753.0	98.18	251104.0	1.82
p1k_00540	9001761.0	8832541.0	98.12	169220.0	1.88
p1k_00541	10993952.0	10770101.0	97.96	223851.0	2.04
p1k_00542	10502478.0	10308143.0	98.15	194335.0	1.85
p1k_00543	13628964.0	13365119.0	98.06	263845.0	1.94
p1k_00544	14443530.0	14143992.0	97.93	299538.0	2.07
p1k_00545	12610489.0	12350629.0	97.94	259860.0	2.06
p1k_00546	10350814.0	10117134.0	97.74	233680.0	2.26
p1k_00547	7998010.0	7820346.0	97.78	177664.0	2.22
p1k_00548	10551023.0	10319414.0	97.8	231609.0	2.2
p1k_00549	8561027.0	8393150.0	98.04	167877.0	1.96
p1k_00550	13689863.0	13460098.0	98.32	229765.0	1.68
p1k_00551	3935757.0	3843036.0	97.64	92721.0	2.36
p1k_00552	6832142.0	6665057.0	97.55	167085.0	2.45
p1k_00553	7337149.0	7119952.0	97.04	217197.0	2.96
p1k_00554	4770304.0	4647211.0	97.42	123093.0	2.58
p1k_00555	7659933.0	7452081.0	97.29	207852.0	2.71
p1k_00556	13384782.0	13098363.0	97.86	286419.0	2.14
p1k_00557	6452904.0	6318577.0	97.92	134327.0	2.08
p1k_00558	9022597.0	8646964.0	95.84	375633.0	4.16
p1k_00559	9625960.0	9128326.0	94.83	497634.0	5.17
p1k_00560	5444963.0	5315252.0	97.62	129711.0	2.38
p1k_00561	11885774.0	11620407.0	97.77	265367.0	2.23
p1k_00562	8939032.0	7539470.0	84.34	1399562.0	15.66
p1k_00563	10675851.0	9053495.0	84.8	1622356.0	15.2
p1k_00564	10159574.0	8592006.0	84.57	1567568.0	15.43
p1k_00565	12515560.0	10534011.0	84.17	1981549.0	15.83
p1k_00566	9804903.0	9612838.0	98.04	192065.0	1.96
p1k_00567	4016473.0	3937357.0	98.03	79116.0	1.97
p1k_00568	8321065.0	8145890.0	97.89	175175.0	2.11
p1k_00569	9259471.0	9101595.0	98.29	157876.0	1.71
p1k_00570	8642739.0	8460152.0	97.89	182587.0	2.11
p1k_00571	12497704.0	12174113.0	97.41	323591.0	2.59
p1k_00572	6301446.0	6138158.0	97.41	163288.0	2.59
p1k_00573	4233557.0	4144365.0	97.89	89192.0	2.11
p1k_00574	9133617.0	8966512.0	98.17	167105.0	1.83
p1k_00575	7304454.0	7169792.0	98.16	134662.0	1.84
p1k_00576	8272980.0	7815187.0	94.47	457793.0	5.53
p1k_00577	8460768.0	7984319.0	94.37	476449.0	5.63
p1k_00578	10791581.0	10512265.0	97.41	279316.0	2.59
p1k_00579	9017591.0	8774499.0	97.3	243092.0	2.7
p1k_00580	11230023.0	9450830.0	84.16	1779193.0	15.84
p1k_00581	12690898.0	12150217.0	95.74	540681.0	4.26
p1k_00582	12686074.0	12045266.0	94.95	640808.0	5.05
p1k_00583	9701064.0	9216511.0	95.01	484553.0	4.99
p1k_00584	6415971.0	6261090.0	97.59	154881.0	2.41
p1k_00585	9353028.0	9139843.0	97.72	213185.0	2.28
p1k_00586	4850868.0	4734829.0	97.61	116039.0	2.39
p1k_00587	10070158.0	9790483.0	97.22	279675.0	2.78
p1k_00588	5531608.0	5427404.0	98.12	104204.0	1.88
p1k_00589	9159133.0	8979674.0	98.04	179459.0	1.96
p1k_00590	6488458.0	6355258.0	97.95	133200.0	2.05
p1k_00591	6006587.0	5897537.0	98.18	109050.0	1.82
p1k_00592	11664784.0	11429857.0	97.99	234927.0	2.01
p1k_00593	10586338.0	10281494.0	97.12	304844.0	2.88
p1k_00594	8654312.0	8512613.0	98.36	141699.0	1.64
p1k_00595	5669535.0	5574062.0	98.32	95473.0	1.68
p1k_00596	10404308.0	10160822.0	97.66	243486.0	2.34
p1k_00597	9381186.0	9182476.0	97.88	198710.0	2.12
p1k_00598	12122456.0	11914149.0	98.28	208307.0	1.72
p1k_00599	10237444.0	10046743.0	98.14	190701.0	1.86
p1k_00600	9379654.0	9176656.0	97.84	202998.0	2.16
p1k_00601	9880146.0	9628566.0	97.45	251580.0	2.55
p1k_00602	9114140.0	8920994.0	97.88	193146.0	2.12
p1k_00603	9927370.0	9779150.0	98.51	148220.0	1.49
p1k_00604	9621651.0	9437836.0	98.09	183815.0	1.91
p1k_00605	9927666.0	9752126.0	98.23	175540.0	1.77
p1k_00606	13823961.0	13580959.0	98.24	243002.0	1.76
p1k_00607	12442409.0	12177400.0	97.87	265009.0	2.13
p1k_00608	11062593.0	10857553.0	98.15	205040.0	1.85
p1k_00609	12158534.0	11944942.0	98.24	213592.0	1.76
p1k_00610	12589409.0	12353044.0	98.12	236365.0	1.88
p1k_00611	11831472.0	11604626.0	98.08	226846.0	1.92
p1k_00612	10540022.0	9952662.0	94.43	587360.0	5.57
p1k_00613	13165734.0	12464995.0	94.68	700739.0	5.32
p1k_00614	11612381.0	10988490.0	94.63	623891.0	5.37
p1k_00615	10914754.0	10364493.0	94.96	550261.0	5.04
p1k_00616	14788370.0	10398886.0	70.32	4389484.0	29.68
p1k_00617	14608395.0	10292347.0	70.46	4316048.0	29.54
p1k_00618	18121748.0	15355071.0	84.73	2766677.0	15.27
p1k_00619	16593911.0	14027385.0	84.53	2566526.0	15.47
p1k_00620	14574850.0	10228701.0	70.18	4346149.0	29.82
p1k_00621	14563768.0	10236720.0	70.29	4327048.0	29.71
p1k_00622	13293128.0	9654547.0	72.63	3638581.0	27.37
p1k_00623	12918015.0	9215888.0	71.34	3702127.0	28.66
p1k_00624	17555139.0	14372777.0	81.87	3182362.0	18.13
p1k_00625	13561448.0	11320050.0	83.47	2241398.0	16.53
p1k_00626	14694775.0	13226493.0	90.01	1468282.0	9.99
p1k_00627	17282552.0	15650124.0	90.55	1632428.0	9.45
p1k_00628	15900557.0	13822188.0	86.93	2078369.0	13.07
p1k_00629	12195681.0	10585850.0	86.8	1609831.0	13.2
p1k_00630	18211378.0	17338581.0	95.21	872797.0	4.79
p1k_00631	16231302.0	15662549.0	96.5	568753.0	3.5
p1k_00632	14721365.0	11106059.0	75.44	3615306.0	24.56
p1k_00633	12620626.0	9430836.0	74.73	3189790.0	25.27
p1k_00634	15075602.0	13110427.0	86.96	1965175.0	13.04
p1k_00635	13907921.0	12172631.0	87.52	1735290.0	12.48
p1k_00636	12586802.0	9917182.0	78.79	2669620.0	21.21
p1k_00637	12427215.0	9957081.0	80.12	2470134.0	19.88
p1k_00638	16736812.0	14209053.0	84.9	2527759.0	15.1
p1k_00639	15062951.0	12927223.0	85.82	2135728.0	14.18
p1k_00640	13559310.0	9555913.0	70.47	4003397.0	29.53
p1k_00641	13676244.0	9737083.0	71.2	3939161.0	28.8
p1k_00642	15938956.0	12573824.0	78.89	3365132.0	21.11
p1k_00643	16587721.0	13083297.0	78.87	3504424.0	21.13
p1k_00644	15606290.0	12725290.0	81.54	2881000.0	18.46
p1k_00645	14243732.0	10748854.0	75.46	3494878.0	24.54
p1k_00646	17017171.0	16164591.0	94.99	852580.0	5.01
p1k_00647	16053976.0	15380112.0	95.8	673864.0	4.2
p1k_00648	16254413.0	13817122.0	85.01	2437291.0	14.99
p1k_00649	15857465.0	13527490.0	85.31	2329975.0	14.69
p1k_00650	14394204.0	11653296.0	80.96	2740908.0	19.04
p1k_00651	16372402.0	13116634.0	80.11	3255768.0	19.89
p1k_00652	12789377.0	9511345.0	74.37	3278032.0	25.63
p1k_00653	13537471.0	9972753.0	73.67	3564718.0	26.33
p1k_00654	13599870.0	11995789.0	88.21	1604081.0	11.79
p1k_00655	13115386.0	11674775.0	89.02	1440611.0	10.98
p1k_00656	15851476.0	12574921.0	79.33	3276555.0	20.67
p1k_00657	16737609.0	13246391.0	79.14	3491218.0	20.86
p1k_00658	16612966.0	14380724.0	86.56	2232242.0	13.44
p1k_00659	16566926.0	14195884.0	85.69	2371042.0	14.31
p1k_00660	13168324.0	11398217.0	86.56	1770107.0	13.44
p1k_00661	12335394.0	10547967.0	85.51	1787427.0	14.49
p1k_00662	12892989.0	11627249.0	90.18	1265740.0	9.82
p1k_00663	13078610.0	11894777.0	90.95	1183833.0	9.05
p1k_00664	15219062.0	13886798.0	91.25	1332264.0	8.75
p1k_00665	15425743.0	14091162.0	91.35	1334581.0	8.65
p1k_00666	16112628.0	13355359.0	82.89	2757269.0	17.11
p1k_00667	13710901.0	12070609.0	88.04	1640292.0	11.96
p1k_00668	16530032.0	12404098.0	75.04	4125934.0	24.96
p1k_00669	15795818.0	11739503.0	74.32	4056315.0	25.68
p1k_00670	15281173.0	12722325.0	83.25	2558848.0	16.75
p1k_00671	14362997.0	11989876.0	83.48	2373121.0	16.52
p1k_00672	12747554.0	10879466.0	85.35	1868088.0	14.65
p1k_00673	14975853.0	12983984.0	86.7	1991869.0	13.3
p1k_00674	13886031.0	9128173.0	65.74	4757858.0	34.26
p1k_00675	11329259.0	7631351.0	67.36	3697908.0	32.64
p1k_00676	16627972.0	14411737.0	86.67	2216235.0	13.33
p1k_00677	14375603.0	12505054.0	86.99	1870549.0	13.01
p1k_00678	13432636.0	10263754.0	76.41	3168882.0	23.59
p1k_00679	13460741.0	10071241.0	74.82	3389500.0	25.18
p1k_00680	15769041.0	12452086.0	78.97	3316955.0	21.03
p1k_00681	17585855.0	14113195.0	80.25	3472660.0	19.75
p1k_00682	15796105.0	12271716.0	77.69	3524389.0	22.31
p1k_00683	15382962.0	11896510.0	77.34	3486452.0	22.66
p1k_00684	16103402.0	15466744.0	96.05	636658.0	3.95
p1k_00685	14670835.0	14092300.0	96.06	578535.0	3.94
p1k_00686	15921741.0	15245574.0	95.75	676167.0	4.25
p1k_00687	16348252.0	15656151.0	95.77	692101.0	4.23
p1k_00688	16627429.0	15964900.0	96.02	662529.0	3.98
p1k_00689	13701130.0	13109928.0	95.69	591202.0	4.31
p1k_00690	14503980.0	13824234.0	95.31	679746.0	4.69
p1k_00691	14313289.0	13618783.0	95.15	694506.0	4.85
p1k_00692	14530169.0	12050608.0	82.94	2479561.0	17.06
p1k_00693	13403823.0	11101373.0	82.82	2302450.0	17.18
p1k_00694	15866151.0	11803231.0	74.39	4062920.0	25.61
p1k_00695	17817903.0	13150587.0	73.81	4667316.0	26.19
p1k_00696	17150046.0	10612156.0	61.88	6537890.0	38.12
p1k_00697	16699910.0	9828893.0	58.86	6871017.0	41.14
p1k_00698	15495485.0	10941467.0	70.61	4554018.0	29.39
p1k_00699	16481999.0	11510633.0	69.84	4971366.0	30.16
p1k_00700	16084468.0	13159733.0	81.82	2924735.0	18.18
p1k_00701	15144343.0	12363458.0	81.64	2780885.0	18.36
p1k_00702	16539126.0	14243608.0	86.12	2295518.0	13.88
p1k_00703	11125611.0	9425519.0	84.72	1700092.0	15.28
p1k_00704	14078829.0	12100348.0	85.95	1978481.0	14.05
p1k_00705	15332947.0	13222359.0	86.23	2110588.0	13.77
p1k_00706	13660446.0	10732159.0	78.56	2928287.0	21.44
p1k_00707	14107755.0	10926717.0	77.45	3181038.0	22.55
p1k_00708	15525457.0	15074282.0	97.09	451175.0	2.91
p1k_00709	15980634.0	15527951.0	97.17	452683.0	2.83
p1k_00710	8836714.0	8510959.0	96.31	325755.0	3.69
p1k_00711	7755905.0	7690754.0	99.16	65151.0	0.84
p1k_00712	6941752.0	6915380.0	99.62	26372.0	0.38
p1k_00713	5352874.0	5332346.0	99.62	20528.0	0.38
p1k_00714	7322226.0	7293311.0	99.61	28915.0	0.39
p1k_00715	6619552.0	6593317.0	99.6	26235.0	0.4
p1k_00716	9615447.0	9525512.0	99.06	89935.0	0.94
p1k_00717	9414616.0	8951690.0	95.08	462926.0	4.92
p1k_00718	8201807.0	7766446.0	94.69	435361.0	5.31
p1k_00719	8327226.0	8252651.0	99.1	74575.0	0.9
p1k_00720	9009414.0	8149485.0	90.46	859929.0	9.54
p1k_00721	7268674.0	7198740.0	99.04	69934.0	0.96
p1k_00722	8709752.0	8469901.0	97.25	239851.0	2.75
p1k_00723	7611659.0	7550492.0	99.2	61167.0	0.8
p1k_00724	8572388.0	8165896.0	95.26	406492.0	4.74
p1k_00725	7792552.0	7729928.0	99.2	62624.0	0.8
p1k_00726	8155270.0	8084411.0	99.13	70859.0	0.87
p1k_00727	8234092.0	8036031.0	97.59	198061.0	2.41
p1k_00728	8437689.0	8373861.0	99.24	63828.0	0.76
p1k_00729	14764032.0	14173244.0	96.0	590788.0	4.0
p1k_00730	8077185.0	8011734.0	99.19	65451.0	0.81
p1k_00731	8548049.0	8263591.0	96.67	284458.0	3.33
p1k_00732	8365975.0	8300301.0	99.21	65674.0	0.79
p1k_00733	9095190.0	8788725.0	96.63	306465.0	3.37
p1k_00734	7481647.0	7421445.0	99.2	60202.0	0.8
p1k_00735	6643586.0	6610627.0	99.5	32959.0	0.5
p1k_00736	8272126.0	8230681.0	99.5	41445.0	0.5
p1k_00737	6166490.0	6131909.0	99.44	34581.0	0.56
p1k_00738	7052451.0	7012743.0	99.44	39708.0	0.56
p1k_00739	5696223.0	5662835.0	99.41	33388.0	0.59
p1k_00740	4990257.0	4962262.0	99.44	27995.0	0.56
p1k_00741	6409202.0	6373357.0	99.44	35845.0	0.56
p1k_00742	6605059.0	6568336.0	99.44	36723.0	0.56
p1k_00743	7493788.0	7427836.0	99.12	65952.0	0.88
p1k_00744	6781492.0	6750115.0	99.54	31377.0	0.46
p1k_00745	5800284.0	5775892.0	99.58	24392.0	0.42
p1k_00746	6498683.0	6470991.0	99.57	27692.0	0.43
p1k_00747	7582944.0	7550776.0	99.58	32168.0	0.42
p1k_00748	7500912.0	7469580.0	99.58	31332.0	0.42
p1k_00749	7248292.0	7222087.0	99.64	26205.0	0.36
p1k_00750	7524687.0	7493050.0	99.58	31637.0	0.42
p1k_00751	6938692.0	6905622.0	99.52	33070.0	0.48
p1k_00752	6419695.0	6389507.0	99.53	30188.0	0.47
p1k_00753	7789752.0	7753418.0	99.53	36334.0	0.47
p1k_00754	6689378.0	6656908.0	99.51	32470.0	0.49
p1k_00755	6966748.0	6935488.0	99.55	31260.0	0.45
p1k_00756	7244839.0	7213776.0	99.57	31063.0	0.43
p1k_00757	7487971.0	7456305.0	99.58	31666.0	0.42
p1k_00758	7163790.0	7130836.0	99.54	32954.0	0.46
p1k_00759	8249479.0	8213477.0	99.56	36002.0	0.44
p1k_00760	8264158.0	8228464.0	99.57	35694.0	0.43
p1k_00761	7951540.0	7909925.0	99.48	41615.0	0.52
p1k_00762	6714013.0	6682455.0	99.53	31558.0	0.47
p1k_00763	6539426.0	6513278.0	99.6	26148.0	0.4
p1k_00764	6566552.0	6539125.0	99.58	27427.0	0.42
p1k_00765	6796408.0	6768459.0	99.59	27949.0	0.41
p1k_00766	5343604.0	5314526.0	99.46	29078.0	0.54
p1k_00767	6903037.0	6864847.0	99.45	38190.0	0.55
p1k_00768	4643631.0	4617385.0	99.43	26246.0	0.57
p1k_00769	7006618.0	6965792.0	99.42	40826.0	0.58
p1k_00770	6561361.0	6523937.0	99.43	37424.0	0.57
p1k_00771	9929533.0	9850412.0	99.2	79121.0	0.8
p1k_00772	8226250.0	8162508.0	99.23	63742.0	0.77
p1k_00773	7420545.0	7361520.0	99.2	59025.0	0.8
p1k_00774	7288329.0	7228814.0	99.18	59515.0	0.82
p1k_00775	9943924.0	9864932.0	99.21	78992.0	0.79
p1k_00776	9764178.0	9686031.0	99.2	78147.0	0.8
p1k_00777	6772427.0	6713361.0	99.13	59066.0	0.87
p1k_00778	7641225.0	7583900.0	99.25	57325.0	0.75
p1k_00779	9532633.0	9453510.0	99.17	79123.0	0.83
p1k_00780	8474494.0	8405751.0	99.19	68743.0	0.81
p1k_00781	10901356.0	10809413.0	99.16	91943.0	0.84
p1k_00782	8913831.0	8843147.0	99.21	70684.0	0.79
p1k_00783	10612242.0	10528371.0	99.21	83871.0	0.79
p1k_00784	9123827.0	9051734.0	99.21	72093.0	0.79
p1k_00785	8464307.0	8395523.0	99.19	68784.0	0.81
p1k_00786	9000156.0	8924026.0	99.15	76130.0	0.85
p1k_00787	7724903.0	7664389.0	99.22	60514.0	0.78
p1k_00788	8876724.0	8806049.0	99.2	70675.0	0.8
p1k_00789	7182432.0	7123695.0	99.18	58737.0	0.82
p1k_00790	9595611.0	9516526.0	99.18	79085.0	0.82
p1k_00791	4377897.0	4273893.0	97.62	104004.0	2.38
p1k_00792	4274105.0	4043489.0	94.6	230616.0	5.4
p1k_00793	4206750.0	4108946.0	97.68	97804.0	2.32
p1k_00794	6136173.0	5902008.0	96.18	234165.0	3.82
p1k_00795	12859436.0	12546644.0	97.57	312792.0	2.43
p1k_00796	13220711.0	12678571.0	95.9	542140.0	4.1
p1k_00797	6926957.0	6769444.0	97.73	157513.0	2.27
p1k_00798	7516936.0	7347725.0	97.75	169211.0	2.25
p1k_00799	7295310.0	7112305.0	97.49	183005.0	2.51
p1k_00800	7905598.0	7708436.0	97.51	197162.0	2.49
p1k_00801	6020196.0	5867424.0	97.46	152772.0	2.54
p1k_00802	7426993.0	7246139.0	97.56	180854.0	2.44
p1k_00803	10411079.0	10008188.0	96.13	402891.0	3.87
p1k_00804	10419689.0	10034080.0	96.3	385609.0	3.7
p1k_00805	11780486.0	11255390.0	95.54	525096.0	4.46
p1k_00806	16645965.0	15877776.0	95.39	768189.0	4.61
p1k_00807	9961572.0	9552598.0	95.89	408974.0	4.11
p1k_00808	11760672.0	11155503.0	94.85	605169.0	5.15
p1k_00809	11127691.0	10804562.0	97.1	323129.0	2.9
p1k_00810	14559212.0	14091087.0	96.78	468125.0	3.22
p1k_00811	11269025.0	10836305.0	96.16	432720.0	3.84
p1k_00812	12106704.0	11569568.0	95.56	537136.0	4.44
p1k_00813	11963049.0	11574820.0	96.75	388229.0	3.25
p1k_00814	15668924.0	15188133.0	96.93	480791.0	3.07
p1k_00815	11668265.0	11197144.0	95.96	471121.0	4.04
p1k_00816	11850247.0	11457335.0	96.68	392912.0	3.32
p1k_00817	10255552.0	9924229.0	96.77	331323.0	3.23
p1k_00818	13697012.0	13264597.0	96.84	432415.0	3.16
p1k_00819	11394384.0	10994806.0	96.49	399578.0	3.51
p1k_00820	9022032.0	8775851.0	97.27	246181.0	2.73
p1k_00821	2193422.0	2007059.0	91.5	186363.0	8.5
p1k_00822	3619811.0	2940363.0	81.23	679448.0	18.77
p1k_00823	1544740.0	1427574.0	92.42	117166.0	7.58
p1k_00824	2277751.0	2014948.0	88.46	262803.0	11.54
p1k_00825	2898115.0	1683403.0	58.09	1214712.0	41.91
p1k_00826	13037412.0	12492350.0	95.82	545062.0	4.18
p1k_00827	18975976.0	18194924.0	95.88	781052.0	4.12
p1k_00828	12629485.0	12425199.0	98.38	204286.0	1.62
p1k_00829	9760996.0	9542488.0	97.76	218508.0	2.24
p1k_00830	10615737.0	10260383.0	96.65	355354.0	3.35
p1k_00831	7723034.0	7479119.0	96.84	243915.0	3.16
p1k_00832	8848849.0	8533748.0	96.44	315101.0	3.56
p1k_00833	8309545.0	8134153.0	97.89	175392.0	2.11
p1k_00834	9108107.0	8760189.0	96.18	347918.0	3.82
p1k_00835	9556956.0	9161505.0	95.86	395451.0	4.14
p1k_00836	13755678.0	12956222.0	94.19	799456.0	5.81
p1k_00837	13136613.0	12306457.0	93.68	830156.0	6.32
p1k_00838	9941463.0	9596948.0	96.53	344515.0	3.47
p1k_00839	4977237.0	4799328.0	96.43	177909.0	3.57
p1k_00840	9184331.0	8806163.0	95.88	378168.0	4.12
p1k_00841	13591847.0	12825356.0	94.36	766491.0	5.64
p1k_00842	5021596.0	4942392.0	98.42	79204.0	1.58
p1k_00843	12935436.0	12326534.0	95.29	608902.0	4.71
p1k_00844	7137573.0	6931273.0	97.11	206300.0	2.89
p1k_00845	8064262.0	7722558.0	95.76	341704.0	4.24
p1k_00846	7890528.0	7656882.0	97.04	233646.0	2.96
p1k_00847	9378444.0	8987541.0	95.83	390903.0	4.17
p1k_00848	17400427.0	16838707.0	96.77	561720.0	3.23
p1k_00849	14431271.0	13954656.0	96.7	476615.0	3.3
p1k_00850	9244957.0	8992724.0	97.27	252233.0	2.73
p1k_00851	9992722.0	9693590.0	97.01	299132.0	2.99
p1k_00852	9345672.0	9130867.0	97.7	214805.0	2.3
p1k_00853	10172644.0	9950116.0	97.81	222528.0	2.19
p1k_00854	14869917.0	14190014.0	95.43	679903.0	4.57
p1k_00855	10404095.0	9944422.0	95.58	459673.0	4.42
p1k_00856	8283314.0	8017433.0	96.79	265881.0	3.21
p1k_00857	120489386.0	115992431.0	96.27	4496955.0	3.73
p1k_00858	8131772.0	7830704.0	96.3	301068.0	3.7
p1k_00859	8869446.0	8497716.0	95.81	371730.0	4.19
p1k_00860	13328094.0	12484465.0	93.67	843629.0	6.33
p1k_00861	11969078.0	11675454.0	97.55	293624.0	2.45
p1k_00862	9420885.0	8985605.0	95.38	435280.0	4.62
p1k_00863	10943929.0	10517545.0	96.1	426384.0	3.9
p1k_00864	9134120.0	8884819.0	97.27	249301.0	2.73
p1k_00865	10081797.0	9842854.0	97.63	238943.0	2.37
p1k_00866	11959133.0	11588112.0	96.9	371021.0	3.1
p1k_00867	12549106.0	12076572.0	96.23	472534.0	3.77
