Sample	Assigned	Unassigned: r RNA	Unassigned: Unmapped	Unassigned: Fragment Length	Unassigned: No Features	Unassigned: Overlapping Length	Unassigned: Ambiguity
p1k_00319	7699866.0	5469.0	201610.0	59886.0	543296.0	618450.0	271513.0
p1k_00320	8820936.0	5311.0	218869.0	165270.0	567187.0	695765.0	292384.0
p1k_00321	10455193.0	5698.0	313457.0	186803.0	709427.0	601705.0	524232.0
p1k_00322	9706366.0	5480.0	272280.0	192318.0	619745.0	755232.0	342172.0
p1k_00323	9835721.0	14433.0	265179.0	179836.0	694878.0	752258.0	322998.0
p1k_00324	12819599.0	6671.0	342095.0	229475.0	941325.0	974705.0	425632.0
p1k_00325	10224056.0	3168.0	285048.0	185415.0	822755.0	732264.0	287515.0
p1k_00326	11823078.0	3970.0	290558.0	102651.0	817635.0	492136.0	414033.0
p1k_00327	10346122.0	3872.0	290125.0	105540.0	881360.0	762533.0	285928.0
p1k_00328	9026206.0	283366.0	252203.0	173146.0	703506.0	512995.0	426408.0
p1k_00329	10135234.0	10532.0	258871.0	152257.0	556032.0	646562.0	275983.0
p1k_00330	8745966.0	13625.0	208733.0	160572.0	612277.0	509848.0	386685.0
p1k_00331	8442734.0	6323.0	239063.0	190738.0	611736.0	605566.0	207294.0
p1k_00332	8355500.0	6001.0	263855.0	220092.0	601755.0	603417.0	209701.0
p1k_00333	9562124.0	12907.0	259754.0	310695.0	727764.0	551132.0	439262.0
p1k_00334	9069847.0	37340.0	267354.0	266537.0	731622.0	671943.0	260113.0
p1k_00335	9226534.0	12369.0	272034.0	187250.0	693151.0	675360.0	268636.0
p1k_00336	9554735.0	18155.0	284104.0	224022.0	683173.0	543060.0	431625.0
p1k_00337	9456176.0	8036.0	279130.0	199500.0	909661.0	617024.0	205642.0
p1k_00338	7815564.0	8924.0	225163.0	119607.0	767465.0	515247.0	170269.0
p1k_00339	8456542.0	6675.0	244465.0	218203.0	730670.0	580976.0	210411.0
p1k_00340	10102891.0	13996.0	267509.0	143631.0	971650.0	659336.0	222106.0
p1k_00341	11692880.0	628.0	311942.0	115814.0	854248.0	638383.0	542587.0
p1k_00342	10407126.0	774.0	216633.0	124584.0	816319.0	669016.0	460466.0
p1k_00343	9358062.0	693.0	213862.0	55196.0	713103.0	605923.0	413332.0
p1k_00344	9423041.0	7028.0	215686.0	112457.0	746231.0	553216.0	456900.0
p1k_00345	11340228.0	1177.0	362307.0	110674.0	619388.0	715494.0	498066.0
p1k_00346	11143368.0	39015.0	245150.0	117896.0	759159.0	618305.0	531187.0
p1k_00347	11407518.0	4408.0	189563.0	117791.0	645326.0	600164.0	539174.0
p1k_00348	11533399.0	786.0	202015.0	128050.0	761155.0	633931.0	571300.0
p1k_00349	7555255.0	85.0	179401.0	180610.0	604284.0	433943.0	394685.0
p1k_00350	7116432.0	370.0	207826.0	155451.0	541016.0	414335.0	371553.0
p1k_00351	6335162.0	218722.0	244279.0	114054.0	605234.0	362891.0	327118.0
p1k_00352	6747069.0	6668.0	152620.0	148586.0	598209.0	437738.0	333074.0
p1k_00353	7511696.0	482.0	119679.0	132030.0	709625.0	457972.0	340589.0
p1k_00354	6685661.0	8768.0	175726.0	138438.0	745554.0	421017.0	313956.0
p1k_00355	5841661.0	5452.0	132821.0	113903.0	586427.0	324250.0	287153.0
p1k_00356	6172744.0	328.0	145622.0	125937.0	668639.0	418579.0	294279.0
p1k_00357	4284496.0	75012.0	88445.0	112148.0	735947.0	328768.0	203831.0
p1k_00358	9742753.0	89511.0	176570.0	83484.0	1290089.0	590302.0	442171.0
p1k_00359	4598268.0	31503.0	90161.0	74319.0	957503.0	398176.0	243952.0
p1k_00360	9016888.0	62737.0	199851.0	70664.0	1063447.0	554143.0	490927.0
p1k_00361	2396849.0	2999202.0	80540.0	105408.0	443473.0	226861.0	156740.0
p1k_00362	4578814.0	63035.0	114411.0	113557.0	973248.0	405108.0	297190.0
p1k_00363	9174127.0	60904.0	211526.0	56055.0	1842218.0	721997.0	362942.0
p1k_00364	5507555.0	31654.0	127884.0	58254.0	870359.0	379513.0	263685.0
p1k_00365	6119835.0	417184.0	158464.0	31869.0	911806.0	480719.0	359107.0
p1k_00366	6033865.0	43678.0	120885.0	61330.0	822831.0	438845.0	355494.0
p1k_00367	7400018.0	476140.0	194403.0	93319.0	909826.0	697692.0	526853.0
p1k_00368	7871942.0	66564.0	178480.0	95133.0	970215.0	686900.0	563177.0
p1k_00369	6034522.0	28705.0	104276.0	43610.0	719561.0	390707.0	250741.0
p1k_00370	7261443.0	463581.0	133836.0	36929.0	878596.0	407515.0	319951.0
p1k_00371	7481579.0	76148.0	176709.0	18638.0	893755.0	427664.0	372449.0
p1k_00372	7155654.0	406832.0	155048.0	36132.0	777396.0	411527.0	398792.0
p1k_00373	7166510.0	60997.0	125403.0	21687.0	813482.0	443001.0	383134.0
p1k_00374	5718418.0	241392.0	113313.0	20755.0	649983.0	349995.0	309904.0
p1k_00375	8152912.0	22598.0	141342.0	53700.0	842228.0	466273.0	393105.0
p1k_00376	7186209.0	11930.0	108300.0	56360.0	576892.0	394282.0	360200.0
p1k_00377	9069932.0	96851.0	140853.0	52378.0	867786.0	640407.0	538933.0
p1k_00378	3875596.0	87871.0	71815.0	34036.0	325468.0	284093.0	248570.0
p1k_00379	7574945.0	35040.0	107011.0	36041.0	628506.0	443000.0	451643.0
p1k_00380	7791715.0	67070.0	136285.0	50367.0	661678.0	474852.0	472013.0
p1k_00381	7271679.0	65349.0	170202.0	42294.0	683081.0	375922.0	333182.0
p1k_00382	6359812.0	30451.0	116126.0	36539.0	664587.0	354939.0	282407.0
p1k_00383	6590526.0	338653.0	165087.0	63799.0	656541.0	467450.0	455416.0
p1k_00384	6496778.0	348226.0	171687.0	54967.0	817103.0	498122.0	409767.0
p1k_00385	6895423.0	51991.0	153905.0	44876.0	643540.0	401360.0	413918.0
p1k_00386	6945764.0	346470.0	131982.0	47396.0	705467.0	424214.0	418821.0
p1k_00387	6365953.0	43899.0	466973.0	75543.0	1656707.0	352623.0	113785.0
p1k_00388	4805056.0	1520134.0	376519.0	74282.0	406647.0	266221.0	94307.0
p1k_00389	4469362.0	1434.0	1444576.0	96843.0	738568.0	219356.0	82744.0
p1k_00390	5713745.0	1123.0	1857729.0	164444.0	807620.0	287559.0	112952.0
p1k_00391	5242564.0	488.0	339866.0	60750.0	826013.0	240889.0	75791.0
p1k_00392	6640697.0	477.0	507093.0	82148.0	1150652.0	304474.0	103922.0
p1k_00393	3675771.0	2652137.0	372053.0	71637.0	320052.0	192842.0	65906.0
p1k_00394	4716973.0	1832928.0	448641.0	82513.0	608062.0	239890.0	90429.0
p1k_00395	4393490.0	164.0	1449485.0	178586.0	562213.0	218459.0	98874.0
p1k_00396	4549211.0	459.0	1255770.0	215237.0	512522.0	240120.0	105472.0
p1k_00397	809302.0	3361607.0	175788.0	47770.0	392133.0	38630.0	12222.0
p1k_00398	6506062.0	1339.0	401442.0	93508.0	1102581.0	299529.0	102541.0
p1k_00399	5382246.0	1354935.0	354061.0	76561.0	668954.0	283241.0	92935.0
p1k_00400	6645535.0	29016.0	495186.0	91568.0	1738914.0	333210.0	122009.0
p1k_00401	4585679.0	1293.0	1323321.0	159310.0	591068.0	236241.0	96061.0
p1k_00402	5300881.0	2009.0	1623665.0	173102.0	673613.0	260056.0	112864.0
p1k_00403	6786074.0	6245.0	432163.0	85478.0	1182119.0	319331.0	101881.0
p1k_00404	7656709.0	4137.0	465953.0	115973.0	963908.0	344732.0	131156.0
p1k_00405	6079961.0	12421.0	412431.0	88737.0	1360691.0	342587.0	129134.0
p1k_00406	6661151.0	31762.0	459267.0	102652.0	1911144.0	374780.0	134916.0
p1k_00407	7271231.0	2195.0	401809.0	105105.0	951400.0	389812.0	139028.0
p1k_00408	5279690.0	610.0	1638987.0	235089.0	617619.0	279521.0	142207.0
p1k_00409	6542367.0	386.0	762265.0	391484.0	800581.0	326618.0	145523.0
p1k_00410	6805046.0	2953.0	423519.0	88225.0	949449.0	328540.0	106657.0
p1k_00411	5319339.0	1332555.0	418710.0	90214.0	549822.0	295894.0	118142.0
p1k_00412	6886685.0	5508.0	424649.0	106477.0	1287731.0	400816.0	140071.0
p1k_00413	7045255.0	1234.0	360299.0	110170.0	766513.0	369273.0	140483.0
p1k_00414	8966611.0	1358.0	395751.0	111998.0	1132528.0	483929.0	159912.0
p1k_00415	9780953.0	689.0	1091620.0	364254.0	1095591.0	493305.0	202093.0
p1k_00416	10314147.0	992.0	893155.0	396405.0	1299600.0	529546.0	201065.0
p1k_00417	5592685.0	609.0	311320.0	90072.0	878373.0	327167.0	116486.0
p1k_00418	6466617.0	542.0	393978.0	68804.0	946695.0	352090.0	123820.0
p1k_00419	6913385.0	1297.0	482670.0	69806.0	876868.0	378668.0	127333.0
p1k_00420	8804132.0	1670.0	565081.0	109466.0	902266.0	488247.0	167368.0
p1k_00421	10733163.0	629.0	626129.0	145024.0	1314347.0	548881.0	217103.0
p1k_00422	7464586.0	782.0	395331.0	108757.0	1031098.0	401688.0	142124.0
p1k_00423	8051320.0	561.0	417330.0	103793.0	1019300.0	424898.0	148441.0
p1k_00424	9327199.0	1306.0	362157.0	115107.0	1297536.0	497758.0	156936.0
p1k_00425	5946842.0	330.0	365077.0	67703.0	802339.0	312747.0	85708.0
p1k_00426	6883663.0	478.0	485993.0	94690.0	816569.0	317207.0	107821.0
p1k_00427	9445874.0	843.0	826683.0	307911.0	1168214.0	483160.0	171115.0
p1k_00428	6559603.0	782.0	441788.0	77800.0	898220.0	315445.0	102902.0
p1k_00429	7314844.0	942.0	467651.0	105544.0	931711.0	398137.0	144601.0
p1k_00430	7040832.0	5518.0	356945.0	115289.0	749606.0	386377.0	141381.0
p1k_00431	8195333.0	493.0	434231.0	119375.0	1110981.0	419275.0	159308.0
p1k_00432	9778814.0	766.0	574093.0	144500.0	1256350.0	493477.0	194947.0
p1k_00433	2195046.0	413.0	272103.0	113151.0	490941.0	113383.0	43898.0
p1k_00434	2047877.0	346.0	225570.0	105175.0	470531.0	111187.0	38733.0
p1k_00435	7277239.0	1677.0	342578.0	110362.0	1161229.0	409082.0	135003.0
p1k_00436	8042314.0	3730.0	502653.0	113088.0	1071517.0	442986.0	148574.0
p1k_00437	8526637.0	655.0	332218.0	85227.0	1340561.0	449567.0	132742.0
p1k_00438	8786468.0	724.0	311569.0	98945.0	1433602.0	461330.0	144954.0
p1k_00439	4094271.0	552.0	581069.0	202996.0	693930.0	230878.0	82498.0
p1k_00440	5263239.0	531.0	725366.0	315859.0	1025506.0	300061.0	113894.0
p1k_00441	10151112.0	396497.0	367223.0	146134.0	1835947.0	593385.0	400535.0
p1k_00442	9620666.0	307317.0	345988.0	138552.0	1770779.0	552548.0	407224.0
p1k_00443	7899462.0	243564.0	289364.0	48175.0	1596587.0	453664.0	317649.0
p1k_00444	8466093.0	193979.0	317667.0	131674.0	1655494.0	436911.0	417842.0
p1k_00445	9764192.0	280217.0	273082.0	142194.0	1907849.0	565480.0	404343.0
p1k_00446	9873600.0	299614.0	307103.0	131060.0	1914460.0	576508.0	407619.0
p1k_00447	10374722.0	687189.0	396773.0	146067.0	1886175.0	622309.0	452952.0
p1k_00448	11043449.0	384265.0	288673.0	37801.0	2001077.0	479009.0	310421.0
p1k_00449	9596441.0	1245852.0	215422.0	152797.0	1427505.0	488447.0	437146.0
p1k_00450	9742162.0	261699.0	265638.0	168872.0	1165067.0	473063.0	522115.0
p1k_00451	10337070.0	490903.0	245565.0	221111.0	1267240.0	614927.0	521874.0
p1k_00452	9715307.0	105113.0	204134.0	360857.0	898035.0	528411.0	546499.0
p1k_00453	10721143.0	870498.0	237948.0	188608.0	1464402.0	636749.0	450300.0
p1k_00454	10050752.0	683726.0	285276.0	163248.0	1314471.0	597506.0	461570.0
p1k_00455	4135931.0	2319506.0	110165.0	61153.0	728479.0	147474.0	120523.0
p1k_00456	4265166.0	2400407.0	100663.0	17103.0	623953.0	113175.0	94210.0
p1k_00457	5018755.0	1243183.0	106694.0	42910.0	694747.0	257147.0	153303.0
p1k_00458	4805409.0	1040952.0	98538.0	61247.0	701928.0	253678.0	153568.0
p1k_00459	6005030.0	3178275.0	182925.0	70414.0	1541624.0	395781.0	208979.0
p1k_00460	7002543.0	3449786.0	197951.0	83930.0	1866241.0	465380.0	241257.0
p1k_00461	7684347.0	1944463.0	232296.0	133133.0	755545.0	409271.0	310302.0
p1k_00462	7014831.0	1936591.0	215043.0	115843.0	683254.0	325699.0	289248.0
p1k_00463	7508459.0	2838740.0	207062.0	91658.0	1938204.0	495029.0	274296.0
p1k_00464	8046098.0	2038384.0	210441.0	82788.0	2142087.0	526649.0	281829.0
p1k_00465	3764010.0	2899608.0	117740.0	45522.0	636889.0	132152.0	107158.0
p1k_00466	3998356.0	2596060.0	107019.0	46623.0	680454.0	144872.0	117049.0
p1k_00467	5929104.0	698231.0	123184.0	60256.0	944197.0	305740.0	183332.0
p1k_00468	4906408.0	1340105.0	115170.0	59870.0	680257.0	269903.0	156416.0
p1k_00469	7258225.0	984747.0	159254.0	50240.0	734075.0	331063.0	268059.0
p1k_00470	8655547.0	750105.0	149681.0	78272.0	810328.0	335990.0	310533.0
p1k_00471	10576254.0	1606844.0	206864.0	113584.0	728027.0	460631.0	476953.0
p1k_00472	8630514.0	1399820.0	190522.0	140972.0	738032.0	463249.0	384550.0
p1k_00473	7406151.0	444140.0	166980.0	87603.0	1644145.0	425251.0	270190.0
p1k_00474	6991172.0	106923.0	133567.0	82147.0	1455047.0	393623.0	266853.0
p1k_00475	6887607.0	119805.0	151157.0	110439.0	1563831.0	416882.0	260505.0
p1k_00476	7834703.0	140448.0	159164.0	112918.0	1872813.0	421347.0	303160.0
p1k_00477	9499953.0	19104.0	291894.0	227216.0	1193946.0	542638.0	512556.0
p1k_00478	11388633.0	18206.0	329075.0	244670.0	1434240.0	720726.0	591808.0
p1k_00479	10097453.0	1821859.0	354562.0	131818.0	1601609.0	703764.0	458305.0
p1k_00480	9840361.0	10404.0	279178.0	94219.0	1786933.0	677988.0	430074.0
p1k_00481	5368966.0	815036.0	80678.0	40346.0	863009.0	185221.0	126930.0
p1k_00482	4689457.0	1292150.0	104650.0	44290.0	677960.0	162528.0	119699.0
p1k_00483	5153506.0	406455.0	90544.0	24348.0	600820.0	229827.0	179541.0
p1k_00484	5418399.0	781814.0	92982.0	49898.0	565534.0	235020.0	196281.0
p1k_00485	8187318.0	4154764.0	443178.0	244460.0	646208.0	479245.0	418213.0
p1k_00486	12135851.0	14521.0	239711.0	191250.0	889846.0	609097.0	590566.0
p1k_00487	11960252.0	24805.0	301061.0	321601.0	1118281.0	601428.0	625596.0
p1k_00488	12565291.0	99805.0	271855.0	284827.0	1193316.0	688655.0	622170.0
p1k_00489	7206330.0	1107558.0	197887.0	89411.0	2016344.0	454007.0	252833.0
p1k_00490	7136889.0	89558.0	159030.0	76824.0	1958900.0	395568.0	252669.0
p1k_00491	6338396.0	2951959.0	171099.0	51217.0	1874448.0	414239.0	199659.0
p1k_00492	5610581.0	1857347.0	131988.0	62701.0	1687626.0	365051.0	183270.0
p1k_00493	7105817.0	1538722.0	175499.0	88669.0	1874580.0	383776.0	268941.0
p1k_00494	7515622.0	968791.0	205919.0	80123.0	2041419.0	404239.0	279718.0
p1k_00495	5380889.0	1728375.0	105999.0	65778.0	586446.0	234362.0	213034.0
p1k_00496	4761240.0	1546703.0	92828.0	66788.0	480754.0	210670.0	194110.0
p1k_00497	5799630.0	1267639.0	96895.0	56868.0	791643.0	220021.0	169115.0
p1k_00498	4882070.0	2587101.0	107602.0	42110.0	787331.0	183597.0	130856.0
p1k_00499	5038879.0	6474.0	112175.0	104349.0	828851.0	307598.0	207339.0
p1k_00500	4051391.0	1549.0	101156.0	120229.0	641588.0	212528.0	175151.0
p1k_00501	10369913.0	9470.0	196936.0	203806.0	1158598.0	533031.0	512739.0
p1k_00502	9699960.0	34160.0	259447.0	221972.0	1366628.0	613941.0	479154.0
p1k_00503	9567025.0	228908.0	236360.0	252790.0	1150283.0	537439.0	497363.0
p1k_00504	9247570.0	16392.0	255579.0	160791.0	1212393.0	588729.0	449647.0
p1k_00505	11094982.0	15076.0	335959.0	108468.0	2019012.0	811752.0	403161.0
p1k_00506	11665245.0	23589.0	346860.0	91167.0	2138774.0	723640.0	420038.0
p1k_00507	5860025.0	2351535.0	156308.0	57488.0	1711793.0	369254.0	183927.0
p1k_00508	5355101.0	3228380.0	164794.0	74038.0	1524070.0	352600.0	181029.0
p1k_00509	11724366.0	16097.0	233206.0	254990.0	981965.0	577170.0	633294.0
p1k_00510	11240644.0	16748.0	252890.0	183562.0	890093.0	540813.0	578583.0
p1k_00511	3873439.0	10157.0	326053.0	111835.0	725234.0	384202.0	241359.0
p1k_00512	4335612.0	105851.0	318389.0	122323.0	728132.0	371335.0	268440.0
p1k_00513	3362467.0	3279.0	210164.0	122467.0	474846.0	269516.0	220739.0
p1k_00514	3267457.0	13199.0	247802.0	83027.0	594076.0	242731.0	177350.0
p1k_00515	4799070.0	13692.0	414681.0	127493.0	984022.0	352369.0	251110.0
p1k_00516	7827313.0	87464.0	655334.0	174827.0	1456280.0	623902.0	404640.0
p1k_00517	5825965.0	96061.0	460285.0	128441.0	1335983.0	518054.0	293333.0
p1k_00518	5569233.0	16416.0	233842.0	156378.0	851182.0	240391.0	248129.0
p1k_00519	5642371.0	17698.0	237769.0	169763.0	804270.0	244885.0	254809.0
p1k_00520	5965322.0	149791.0	272701.0	163291.0	1085689.0	278895.0	237887.0
p1k_00521	4928432.0	1082850.0	239771.0	133112.0	965678.0	229757.0	189843.0
p1k_00522	5276916.0	515164.0	200257.0	135062.0	1574949.0	431266.0	247144.0
p1k_00523	6581151.0	75979.0	238150.0	152372.0	1613949.0	579337.0	356340.0
p1k_00524	4956777.0	22718.0	194565.0	131213.0	1033588.0	444717.0	245785.0
p1k_00525	4988063.0	24778.0	179262.0	144764.0	1110757.0	473572.0	281827.0
p1k_00526	8136910.0	314325.0	314485.0	145817.0	1415938.0	558536.0	380437.0
p1k_00527	8974652.0	305965.0	338676.0	154446.0	1539904.0	598693.0	403506.0
p1k_00528	6929475.0	131817.0	218501.0	58573.0	929054.0	453720.0	341446.0
p1k_00529	7335743.0	117016.0	202916.0	130501.0	1052507.0	486800.0	354169.0
p1k_00530	5814917.0	19990.0	204606.0	105252.0	1019240.0	566911.0	303704.0
p1k_00531	7171361.0	37896.0	277408.0	210900.0	1158466.0	674812.0	376460.0
p1k_00532	5576689.0	15309.0	154015.0	89381.0	942335.0	517223.0	287627.0
p1k_00533	5544553.0	19272.0	156185.0	93600.0	1026642.0	446112.0	294810.0
p1k_00534	5031147.0	22556.0	188163.0	30049.0	1857173.0	402345.0	234456.0
p1k_00535	4942961.0	31582.0	151260.0	69851.0	1775430.0	442399.0	257379.0
p1k_00536	5616865.0	11941.0	212304.0	63421.0	1984515.0	476526.0	256596.0
p1k_00537	4968929.0	17595.0	158699.0	86241.0	2014371.0	486899.0	207512.0
p1k_00538	6029221.0	176166.0	261160.0	47841.0	1715312.0	369513.0	251526.0
p1k_00539	5981000.0	4763190.0	251104.0	49802.0	2111550.0	416373.0	248838.0
p1k_00540	6716054.0	9459.0	169220.0	99741.0	1143952.0	550197.0	313138.0
p1k_00541	8221268.0	26470.0	223851.0	103819.0	1397477.0	629499.0	391568.0
p1k_00542	7777318.0	64314.0	194335.0	95269.0	1366065.0	663476.0	341701.0
p1k_00543	8734605.0	1864813.0	263845.0	101790.0	1576343.0	702812.0	384756.0
p1k_00544	10666469.0	11495.0	299538.0	74126.0	2146455.0	818537.0	426910.0
p1k_00545	9208386.0	99527.0	259860.0	86522.0	1800038.0	794314.0	361842.0
p1k_00546	7454382.0	181250.0	233680.0	187700.0	1246497.0	649849.0	397456.0
p1k_00547	5746059.0	137035.0	177664.0	118644.0	1041059.0	476260.0	301289.0
p1k_00548	7710273.0	12406.0	231609.0	122372.0	1365139.0	761534.0	347690.0
p1k_00549	6381821.0	15316.0	167877.0	77828.0	1099456.0	538800.0	279929.0
p1k_00550	10233055.0	14944.0	229765.0	305685.0	1450634.0	908580.0	547200.0
p1k_00551	2834386.0	5297.0	92721.0	86512.0	477669.0	302778.0	136394.0
p1k_00552	5076769.0	14604.0	167085.0	142420.0	687110.0	466856.0	277298.0
p1k_00553	5410138.0	34886.0	217197.0	132241.0	799582.0	454390.0	288715.0
p1k_00554	3641155.0	56318.0	123093.0	87699.0	424761.0	243884.0	193394.0
p1k_00555	5909095.0	7074.0	207852.0	156894.0	644759.0	398683.0	335576.0
p1k_00556	10579749.0	26585.0	286419.0	153772.0	1448098.0	538683.0	351476.0
p1k_00557	4918013.0	89562.0	134327.0	73003.0	828022.0	258781.0	151196.0
p1k_00558	7091167.0	613.0	375633.0	211273.0	809539.0	377940.0	156432.0
p1k_00559	7298534.0	225281.0	497634.0	206168.0	858317.0	383562.0	156464.0
p1k_00560	3947318.0	5910.0	129711.0	30657.0	928446.0	247681.0	155240.0
p1k_00561	8513529.0	11560.0	265367.0	86281.0	2077975.0	569110.0	361952.0
p1k_00562	6428038.0	1980.0	1399562.0	10357.0	688242.0	391942.0	18911.0
p1k_00563	7661248.0	1641.0	1622356.0	11092.0	886141.0	472684.0	20689.0
p1k_00564	7308021.0	3134.0	1567568.0	11697.0	807611.0	441013.0	20530.0
p1k_00565	8815827.0	5519.0	1981549.0	12732.0	1143847.0	532492.0	23594.0
p1k_00566	4702324.0	3224925.0	192065.0	49110.0	1082776.0	343522.0	210181.0
p1k_00567	2899583.0	66912.0	79116.0	28399.0	623355.0	193972.0	125136.0
p1k_00568	5868285.0	31442.0	175175.0	97152.0	1458820.0	438443.0	251748.0
p1k_00569	6633670.0	28889.0	157876.0	116328.0	1544171.0	482890.0	295647.0
p1k_00570	6571130.0	72406.0	182587.0	245116.0	896549.0	350729.0	324222.0
p1k_00571	9339861.0	61220.0	323591.0	201735.0	1731291.0	468956.0	371050.0
p1k_00572	4547052.0	141748.0	163288.0	96546.0	958382.0	234906.0	159524.0
p1k_00573	2193688.0	1425410.0	89192.0	6189.0	406113.0	64414.0	48551.0
p1k_00574	6624729.0	4404.0	167105.0	125886.0	1384976.0	505191.0	321326.0
p1k_00575	5447838.0	4125.0	134662.0	98417.0	907654.0	457535.0	254223.0
p1k_00576	6483604.0	611.0	457793.0	181143.0	687491.0	335505.0	126833.0
p1k_00577	6551007.0	571.0	476449.0	218519.0	709871.0	356863.0	147488.0
p1k_00578	8082663.0	71896.0	279316.0	84476.0	1347940.0	552814.0	372476.0
p1k_00579	6780670.0	24680.0	243092.0	87003.0	1073698.0	471744.0	336704.0
p1k_00580	7939656.0	4623.0	1779193.0	11984.0	942539.0	529220.0	22808.0
p1k_00581	10330011.0	1904.0	540681.0	176302.0	901342.0	512661.0	227997.0
p1k_00582	10022246.0	2107.0	640808.0	318353.0	925813.0	540670.0	236077.0
p1k_00583	7655172.0	1894.0	484553.0	212115.0	758756.0	416662.0	171912.0
p1k_00584	4527941.0	59529.0	154881.0	19286.0	1127548.0	361329.0	165457.0
p1k_00585	6514765.0	84840.0	213185.0	46659.0	1717229.0	538795.0	237555.0
p1k_00586	3595189.0	47096.0	116039.0	14330.0	734822.0	212942.0	130450.0
p1k_00587	7406207.0	140695.0	279675.0	49230.0	1385725.0	497814.0	310812.0
p1k_00588	4218792.0	65302.0	104204.0	27901.0	642398.0	301580.0	171431.0
p1k_00589	7094165.0	80815.0	179459.0	35808.0	1028277.0	456390.0	284219.0
p1k_00590	4949942.0	115279.0	133200.0	19749.0	741288.0	333893.0	195107.0
p1k_00591	4388339.0	154097.0	109050.0	29152.0	770932.0	349723.0	205294.0
p1k_00592	8650071.0	76117.0	234927.0	139836.0	1649362.0	445752.0	468719.0
p1k_00593	7099386.0	170222.0	304844.0	79696.0	2103372.0	435920.0	392898.0
p1k_00594	6640298.0	521591.0	141699.0	47390.0	629927.0	349175.0	324232.0
p1k_00595	4257290.0	20532.0	95473.0	90708.0	594137.0	360498.0	250897.0
p1k_00596	7703478.0	35362.0	243486.0	160537.0	1191044.0	661706.0	408695.0
p1k_00597	6925830.0	20771.0	198710.0	127203.0	1132294.0	628951.0	347427.0
p1k_00598	9052944.0	13106.0	208307.0	218752.0	1312760.0	806552.0	510035.0
p1k_00599	7628730.0	18555.0	190701.0	149812.0	1191274.0	659557.0	398815.0
p1k_00600	6889373.0	45689.0	202998.0	83690.0	1116401.0	671115.0	370388.0
p1k_00601	7421908.0	10359.0	251580.0	117515.0	1001264.0	664504.0	413016.0
p1k_00602	6799756.0	56752.0	193146.0	102320.0	999763.0	556255.0	406148.0
p1k_00603	7496628.0	17288.0	148220.0	61979.0	1270417.0	583090.0	349748.0
p1k_00604	7244151.0	92150.0	183815.0	80319.0	1070194.0	595464.0	355558.0
p1k_00605	7394525.0	86757.0	175540.0	93751.0	1239322.0	596521.0	341250.0
p1k_00606	10176495.0	227216.0	243002.0	78900.0	1627897.0	1037170.0	433281.0
p1k_00607	9089520.0	302958.0	265009.0	78003.0	1434137.0	853374.0	419408.0
p1k_00608	8380575.0	24599.0	205040.0	60468.0	1234697.0	804294.0	352920.0
p1k_00609	8551501.0	787249.0	213592.0	44736.0	1537145.0	672110.0	352201.0
p1k_00610	9551978.0	17527.0	236365.0	71948.0	1436939.0	879018.0	395634.0
p1k_00611	8959535.0	17969.0	226846.0	71613.0	1361612.0	793242.0	400655.0
p1k_00612	8480157.0	13026.0	587360.0	61707.0	804285.0	469499.0	123988.0
p1k_00613	10622160.0	6579.0	700739.0	66142.0	1033520.0	596504.0	140090.0
p1k_00614	9228552.0	13312.0	623891.0	43536.0	1135898.0	484086.0	83106.0
p1k_00615	8736448.0	3563.0	550261.0	44670.0	1042967.0	458021.0	78824.0
p1k_00616	8000301.0	23143.0	4389484.0	25215.0	1807359.0	523934.0	18934.0
p1k_00617	7941225.0	10282.0	4316048.0	20074.0	1796510.0	505840.0	18416.0
p1k_00618	12112267.0	33175.0	2766677.0	32869.0	2453882.0	699925.0	22953.0
p1k_00619	11247462.0	30185.0	2566526.0	19642.0	2109966.0	599729.0	20401.0
p1k_00620	7777742.0	10491.0	4346149.0	27631.0	1842549.0	552399.0	17889.0
p1k_00621	7787432.0	24027.0	4327048.0	24833.0	1834601.0	547262.0	18565.0
p1k_00622	7284300.0	41343.0	3638581.0	25987.0	1847721.0	440134.0	15062.0
p1k_00623	6812628.0	100445.0	3702127.0	21434.0	1857404.0	410524.0	13453.0
p1k_00624	11147582.0	92056.0	3182362.0	27300.0	2372220.0	712493.0	21126.0
p1k_00625	8746066.0	40348.0	2241398.0	19645.0	1936891.0	561927.0	15173.0
p1k_00626	10187382.0	327862.0	1468282.0	45503.0	2008747.0	643036.0	13963.0
p1k_00627	12042392.0	216739.0	1632428.0	57617.0	2565735.0	749978.0	17663.0
p1k_00628	10940840.0	22229.0	2078369.0	42781.0	2116787.0	684982.0	14569.0
p1k_00629	8256018.0	104011.0	1609831.0	51323.0	1635497.0	528217.0	10784.0
p1k_00630	13031378.0	17548.0	872797.0	41262.0	3415654.0	805413.0	27326.0
p1k_00631	11825803.0	33056.0	568753.0	45325.0	3004952.0	727370.0	26043.0
p1k_00632	8437373.0	45308.0	3615306.0	21894.0	2027378.0	558140.0	15966.0
p1k_00633	7264344.0	42741.0	3189790.0	15345.0	1617041.0	478181.0	13184.0
p1k_00634	10018258.0	18161.0	1965175.0	48064.0	2405113.0	604312.0	16519.0
p1k_00635	9290778.0	28582.0	1735290.0	60396.0	2255145.0	523747.0	13983.0
p1k_00636	7682505.0	21260.0	2669620.0	40903.0	1684277.0	477422.0	10815.0
p1k_00637	7619501.0	86669.0	2470134.0	39960.0	1720228.0	481180.0	9543.0
