Sample	pe_sense	pe_antisense	failed	se_sense	se_antisense
p1k_00620	0.0258	0.4667	0.5075		
p1k_00621	0.0248	0.4698	0.5054		
p1k_00622	0.0216	0.4887	0.4897		
p1k_00623	0.0226	0.4924	0.485		
p1k_00624	0.0227	0.4679	0.5094		
p1k_00625	0.0258	0.4683	0.5059		
p1k_00626	0.0243	0.4493	0.5264		
p1k_00627	0.0218	0.4586	0.5196		
p1k_00628	0.0246	0.4632	0.5122		
p1k_00629	0.0244	0.4619	0.5138		
p1k_00630	0.0223	0.4753	0.5024		
p1k_00631	0.0433	0.4586	0.4981		
p1k_00632	0.0346	0.4573	0.508		
p1k_00633	0.0257	0.4622	0.5121		
p1k_00634	0.0219	0.4727	0.5054		
p1k_00635	0.0218	0.4764	0.5018		
p1k_00636	0.026	0.4666	0.5074		
p1k_00637	0.0378	0.4597	0.5026		
p1k_00638	0.0461	0.4379	0.516		
p1k_00639	0.0449	0.4398	0.5153		
p1k_00640	0.0256	0.4654	0.5089		
p1k_00641	0.0257	0.4703	0.5039		
p1k_00642	0.0301	0.4572	0.5128		
p1k_00643	0.0497	0.4456	0.5047		
p1k_00644	0.0204	0.462	0.5177		
p1k_00645	0.0217	0.463	0.5153		
p1k_00646	0.0212	0.5435	0.4353		
p1k_00647	0.0566	0.4848	0.4586		
p1k_00648	0.0198	0.4638	0.5163		
p1k_00649	0.0204	0.4644	0.5152		
p1k_00650	0.0214	0.4543	0.5243		
p1k_00651	0.0217	0.4536	0.5247		
p1k_00652	0.0286	0.4596	0.5117		
p1k_00653	0.026	0.4592	0.5148		
p1k_00654	0.0223	0.4763	0.5014		
p1k_00655	0.0249	0.4836	0.4915		
p1k_00656	0.0221	0.464	0.5139		
p1k_00657	0.0236	0.4565	0.5198		
p1k_00658	0.0173	0.4959	0.4867		
p1k_00659	0.0181	0.4999	0.4819		
p1k_00660	0.0249	0.4625	0.5126		
p1k_00661	0.024	0.4767	0.4992		
p1k_00662	0.0245	0.4857	0.4898		
p1k_00663	0.025	0.4851	0.4899		
p1k_00664	0.0234	0.4564	0.5202		
p1k_00665	0.0267	0.4601	0.5132		
p1k_00666	0.0165	0.3321	0.6514		
p1k_00667	0.0244	0.3813	0.5943		
p1k_00668	0.0222	0.4683	0.5096		
p1k_00669	0.0232	0.4657	0.5111		
p1k_00670	0.0286	0.4524	0.519		
p1k_00671	0.0297	0.453	0.5172		
p1k_00672	0.0237	0.4802	0.4961		
p1k_00673	0.0287	0.4761	0.4952		
p1k_00674	0.0239	0.467	0.509		
p1k_00675	0.0207	0.4534	0.5259		
p1k_00676	0.0275	0.4569	0.5155		
p1k_00677	0.0256	0.466	0.5084		
p1k_00678	0.0258	0.4611	0.5131		
p1k_00679	0.0266	0.4679	0.5055		
p1k_00680	0.0245	0.4515	0.524		
p1k_00681	0.0213	0.4622	0.5165		
p1k_00682	0.0228	0.438	0.5392		
p1k_00683	0.0228	0.4434	0.5338		
p1k_00684	0.022	0.4885	0.4896		
p1k_00686	0.0209	0.4893	0.4898		
p1k_00687	0.0153	0.511	0.4737		
p1k_00688	0.0198	0.5208	0.4593		
p1k_00689	0.018	0.5218	0.4603		
p1k_00690	0.0251	0.502	0.4729		
p1k_00691	0.0281	0.5001	0.4718		
p1k_00692	0.0277	0.4462	0.5261		
p1k_00693	0.0247	0.4493	0.526		
p1k_00694	0.0233	0.4651	0.5117		
p1k_00695	0.0239	0.4704	0.5057		
p1k_00696	0.0259	0.4969	0.4772		
p1k_00697	0.0241	0.5041	0.4718		
p1k_00698	0.0218	0.4657	0.5125		
p1k_00699	0.0224	0.4639	0.5137		
p1k_00700	0.0269	0.4436	0.5295		
p1k_00701	0.0282	0.4387	0.5331		
p1k_00702	0.0223	0.4499	0.5278		
p1k_00703	0.0617	0.4375	0.5007		
p1k_00704	0.022	0.4735	0.5045		
p1k_00705	0.0198	0.4768	0.5034		
p1k_00706	0.0224	0.4788	0.4988		
p1k_00707	0.0212	0.479	0.4997		
p1k_00708	0.0233	0.4896	0.4871		
p1k_00709	0.0227	0.4759	0.5014		
p1k_00710	0.0908	0.3874	0.5218		
p1k_00711			0.5288	0.0291	0.4421
p1k_00712			0.5299	0.0251	0.445
p1k_00713			0.5328	0.0254	0.4418
p1k_00714			0.5305	0.0255	0.4441
p1k_00715			0.5304	0.0255	0.4441
p1k_00716			0.4669	0.0285	0.5046
p1k_00717	0.0687	0.4379	0.4934		
p1k_00718	0.2963	0.2566	0.4471		
p1k_00719			0.5331	0.027	0.44
p1k_00720	0.4545	0.1599	0.3857		
p1k_00721			0.5213	0.0275	0.4512
p1k_00722	0.0859	0.4051	0.509		
p1k_00723			0.5172	0.0288	0.4541
p1k_00724	0.1444	0.3576	0.498		
p1k_00725			0.5291	0.0261	0.4447
p1k_00726			0.5342	0.025	0.4407
p1k_00727	0.0226	0.4474	0.5301		
p1k_00728			0.522	0.0251	0.4528
p1k_00729	0.0267	0.4509	0.5224		
p1k_00730			0.5257	0.0261	0.4482
p1k_00732			0.5399	0.0248	0.4353
p1k_00733	0.0748	0.4138	0.5114		
p1k_00734			0.5362	0.0239	0.4399
p1k_00735			0.5014	0.0264	0.4723
p1k_00736			0.506	0.0253	0.4687
p1k_00737			0.5036	0.0383	0.4582
p1k_00738			0.5137	0.024	0.4623
p1k_00739			0.5244	0.0249	0.4507
p1k_00740			0.5236	0.024	0.4524
p1k_00741			0.5167	0.0252	0.4581
p1k_00742			0.5169	0.0256	0.4575
p1k_00743			0.4703	0.0257	0.5041
p1k_00744			0.4886	0.0303	0.4811
p1k_00745			0.4825	0.0356	0.4819
p1k_00746			0.4849	0.0334	0.4817
p1k_00747			0.5313	0.0284	0.4403
p1k_00748			0.5307	0.0274	0.4419
p1k_00749			0.5753	0.0269	0.3977
p1k_00750			0.5532	0.0285	0.4183
p1k_00751			0.5535	0.0252	0.4213
p1k_00752			0.5418	0.0291	0.4291
p1k_00753			0.5185	0.0262	0.4552
p1k_00754			0.4974	0.0308	0.4718
p1k_00755			0.5353	0.0271	0.4375
p1k_00756			0.5354	0.0292	0.4354
p1k_00757			0.5394	0.0261	0.4345
p1k_00758			0.5333	0.03	0.4367
p1k_00759			0.5323	0.0275	0.4402
p1k_00760			0.5379	0.0273	0.4347
p1k_00761			0.4549	0.0207	0.5244
p1k_00762			0.4271	0.0343	0.5386
p1k_00763			0.5072	0.0306	0.4622
p1k_00764			0.5157	0.0286	0.4556
p1k_00765			0.5046	0.0286	0.4668
p1k_00766			0.5064	0.0275	0.466
p1k_00767			0.4976	0.04	0.4624
p1k_00768			0.4756	0.0268	0.4976
p1k_00769			0.5047	0.0264	0.4689
p1k_00770			0.5033	0.0275	0.4692
p1k_00771			0.5557	0.0189	0.4254
p1k_00772			0.5598	0.0161	0.4241
p1k_00773			0.5253	0.0224	0.4523
p1k_00775			0.5479	0.0201	0.4319
p1k_00776			0.5511	0.0161	0.4328
p1k_00777			0.5445	0.0205	0.435
p1k_00778			0.5439	0.0161	0.44
p1k_00779			0.5065	0.0201	0.4734
p1k_00780			0.5183	0.019	0.4627
p1k_00781			0.4895	0.0239	0.4866
p1k_00782			0.4954	0.02	0.4846
p1k_00783			0.5584	0.0194	0.4221
p1k_00784			0.5562	0.0157	0.4281
p1k_00785			0.5518	0.0235	0.4247
p1k_00786			0.5307	0.0222	0.4471
p1k_00787			0.558	0.0152	0.4268
p1k_00788			0.5542	0.0155	0.4303
p1k_00789			0.5407	0.0229	0.4364
p1k_00790			0.5252	0.025	0.4497
p1k_00791	0.0447	0.5245	0.4309		
p1k_00792	0.0491	0.4297	0.5212		
p1k_00793	0.0605	0.5627	0.3768		
p1k_00794	0.0507	0.4412	0.5081		
p1k_00795	0.0323	0.4234	0.5443		
p1k_00796	0.0409	0.4318	0.5274		
p1k_00797	0.0198	0.3773	0.6029		
p1k_00798	0.0224	0.446	0.5316		
p1k_00799	0.0247	0.4479	0.5274		
p1k_00800	0.0261	0.4594	0.5145		
p1k_00801	0.0272	0.4533	0.5195		
p1k_00802	0.0267	0.4488	0.5244		
p1k_00803	0.0458	0.4444	0.5098		
p1k_00804	0.0466	0.4399	0.5135		
p1k_00805	0.0385	0.4324	0.5292		
p1k_00806	0.0408	0.4234	0.5358		
p1k_00807	0.037	0.441	0.522		
p1k_00808	0.0369	0.4392	0.5239		
p1k_00809	0.0345	0.4158	0.5497		
p1k_00810	0.0366	0.4208	0.5426		
p1k_00811	0.035	0.4132	0.5518		
p1k_00812	0.0359	0.4062	0.5579		
p1k_00813	0.0348	0.4134	0.5519		
p1k_00814	0.0328	0.4271	0.5401		
p1k_00815	0.0358	0.4231	0.5412		
p1k_00816	0.0378	0.4159	0.5463		
p1k_00817	0.0334	0.4222	0.5444		
p1k_00818	0.0356	0.4341	0.5303		
p1k_00819	0.0338	0.4131	0.5532		
p1k_00820	0.0322	0.4175	0.5503		
p1k_00821	0.1564	0.3274	0.5162		
p1k_00822	0.249	0.2976	0.4535		
p1k_00823	0.1863	0.3072	0.5065		
p1k_00824	0.2754	0.3078	0.4168		
p1k_00825	0.2379	0.304	0.4581		
p1k_00826	0.056	0.4791	0.4649		
p1k_00827	0.054	0.4635	0.4825		
p1k_00828	0.0532	0.411	0.5358		
p1k_00829	0.0486	0.4194	0.532		
p1k_00830	0.0482	0.3574	0.5944		
p1k_00831	0.0496	0.3737	0.5767		
p1k_00832	0.0527	0.4169	0.5304		
p1k_00833	0.0461	0.4411	0.5128		
p1k_00834	0.0516	0.3871	0.5612		
p1k_00835	0.0621	0.4211	0.5168		
p1k_00836	0.0435	0.4714	0.4851		
p1k_00837	0.0423	0.5036	0.4541		
p1k_00838	0.0483	0.4606	0.4911		
p1k_00839	0.0485	0.4616	0.49		
p1k_00840	0.0286	0.2643	0.7071		
p1k_00841	0.0328	0.3034	0.6639		
p1k_00842	0.0311	0.374	0.5949		
p1k_00843	0.0359	0.3694	0.5947		
p1k_00844	0.0463	0.4117	0.5419		
p1k_00845	0.0486	0.4433	0.5082		
p1k_00846	0.0446	0.4507	0.5046		
p1k_00847	0.0401	0.4415	0.5184		
p1k_00848	0.0391	0.4715	0.4894		
p1k_00849	0.0438	0.5364	0.4197		
p1k_00850	0.0561	0.4245	0.5194		
p1k_00851	0.0566	0.4251	0.5182		
p1k_00852	0.0483	0.43	0.5218		
p1k_00853	0.0466	0.3918	0.5616		
p1k_00854	0.0531	0.4452	0.5017		
p1k_00855	0.0698	0.4533	0.4768		
p1k_00856	0.0494	0.435	0.5156		
p1k_00857	0.0651	0.4517	0.4832		
p1k_00858	0.0681	0.4564	0.4755		
p1k_00859	0.0754	0.4483	0.4764		
p1k_00860	0.0478	0.4288	0.5234		
p1k_00861	0.0471	0.4437	0.5091		
p1k_00862	0.0534	0.4225	0.5242		
p1k_00863	0.0497	0.4125	0.5378		
p1k_00864	0.0455	0.4132	0.5413		
p1k_00865	0.0362	0.3285	0.6353		
p1k_00866	0.0567	0.4238	0.5195		
p1k_00867	0.0509	0.4177	0.5314		
p1k_00868	0.0533	0.4369	0.5098		
p1k_00869	0.0534	0.4394	0.5073		
p1k_00870	0.0544	0.4281	0.5175		
p1k_00871	0.0546	0.4143	0.5311		
p1k_00872	0.0404	0.4654	0.4942		
p1k_00873	0.0362	0.4607	0.5031		
p1k_00874	0.0718	0.4748	0.4534		
p1k_00875	0.0728	0.4579	0.4693		
p1k_00876	0.0545	0.453	0.4925		
p1k_00877	0.0518	0.4548	0.4934		
p1k_00878	0.043	0.4352	0.5218		
p1k_00879	0.0489	0.4326	0.5185		
p1k_00880	0.0535	0.424	0.5225		
p1k_00881	0.0502	0.4407	0.5091		
p1k_00882	0.0388	0.3994	0.5618		
p1k_00883	0.0388	0.3893	0.5718		
p1k_00884	0.0388	0.4099	0.5513		
p1k_00885	0.0393	0.4081	0.5526		
p1k_00886	0.0582	0.4054	0.5364		
p1k_00887	0.0518	0.4032	0.5451		
p1k_00888	0.0456	0.416	0.5384		
p1k_00889	0.0381	0.4185	0.5435		
p1k_00890	0.0267	0.4809	0.4924		
p1k_00891	0.0263	0.49	0.4837		
p1k_00892	0.0338	0.4011	0.5651		
p1k_00893	0.0299	0.427	0.5432		
p1k_00894	0.0329	0.4271	0.5399		
p1k_00895	0.0344	0.432	0.5336		
p1k_00896	0.031	0.4251	0.5439		
p1k_00897	0.0293	0.4524	0.5183		
p1k_00898	0.0281	0.4258	0.5461		
p1k_00899	0.0279	0.4244	0.5478		
p1k_00900	0.0248	0.4893	0.4859		
p1k_00901	0.0241	0.5213	0.4546		
p1k_00902	0.0289	0.4447	0.5264		
p1k_00903	0.0301	0.4471	0.5228		
p1k_00904	0.0252	0.4615	0.5133		
p1k_00905	0.0254	0.4662	0.5083		
p1k_00906	0.0413	0.4377	0.5209		
p1k_00907	0.0403	0.4472	0.5126		
p1k_00908	0.0383	0.4569	0.5049		
p1k_00909	0.0415	0.4613	0.4972		
p1k_00910	0.023	0.4442	0.5327		
p1k_00911	0.0224	0.4494	0.5282		
p1k_00912	0.0421	0.3917	0.5662		
p1k_00913	0.0379	0.4135	0.5486		
p1k_00914	0.0519	0.4242	0.5239		
p1k_00915	0.0447	0.4687	0.4866		
p1k_00916	0.0359	0.4217	0.5424		
p1k_00917	0.0395	0.4705	0.49		
p1k_00918	0.0362	0.4486	0.5151		
p1k_00919	0.0345	0.4415	0.524		
p1k_00920	0.0203	0.43	0.5497		
p1k_00921	0.0299	0.4306	0.5395		
p1k_00922	0.0256	0.4372	0.5372		
p1k_00923	0.0241	0.447	0.5288		
p1k_00924	0.0255	0.4096	0.5649		
p1k_00925	0.0243	0.4462	0.5295		
p1k_00926	0.0262	0.4441	0.5297		
p1k_00927	0.0256	0.4463	0.5281		
p1k_00928	0.0229	0.4644	0.5127		
p1k_00929	0.0232	0.4613	0.5154		
p1k_00930	0.139	0.3891	0.4719		
p1k_00931	0.0865	0.4247	0.4889		
p1k_00932	0.2157	0.3648	0.4196		
p1k_00933	0.0464	0.4487	0.5049		
p1k_00934	0.0199	0.4454	0.5346		
p1k_00935	0.0186	0.4435	0.5379		
p1k_00936	0.0214	0.4315	0.5471		
p1k_00937	0.0229	0.4406	0.5365		
p1k_00938	0.0235	0.4373	0.5393		
p1k_00939	0.0223	0.4506	0.5271		
p1k_00940	0.0502	0.4051	0.5447		
p1k_00941	0.0519	0.3879	0.5603		
p1k_00942	0.0209	0.4438	0.5353		
p1k_00943	0.0247	0.3959	0.5794		
p1k_00944	0.0258	0.4304	0.5438		
p1k_00945	0.0229	0.4296	0.5475		
p1k_00946	0.0278	0.3958	0.5764		
p1k_00947	0.029	0.4325	0.5386		
p1k_00948	0.0335	0.4147	0.5519		
p1k_00949	0.0277	0.3361	0.6362		
p1k_00950	0.0224	0.4064	0.5712		
p1k_00951	0.0229	0.4087	0.5684		
p1k_00952	0.026	0.3973	0.5766		
p1k_00953	0.0226	0.4286	0.5488		
p1k_00954	0.0257	0.4328	0.5415		
p1k_00955	0.0239	0.3956	0.5805		
p1k_00956	0.0283	0.3822	0.5896		
p1k_00957	0.0211	0.4153	0.5636		
p1k_00958	0.023	0.4252	0.5518		
p1k_00959	0.0356	0.4284	0.536		
p1k_00960	0.0371	0.4053	0.5576		
p1k_00961	0.0185	0.4489	0.5326		
p1k_00962	0.021	0.4487	0.5303		
p1k_00963	0.0285	0.4308	0.5407		
p1k_00964	0.0262	0.4234	0.5504		
p1k_00965	0.0242	0.4368	0.5391		
p1k_00966	0.032	0.399	0.569		
p1k_00967	0.0183	0.4361	0.5456		
p1k_00968	0.033	0.424	0.543		
p1k_00969	0.0408	0.4077	0.5515		
p1k_00970	0.0247	0.4221	0.5532		
p1k_00971	0.0248	0.4338	0.5415		
p1k_00972	0.0249	0.4216	0.5535		
p1k_00973	0.0221	0.4052	0.5727		
p1k_00974	0.0278	0.3758	0.5964		
p1k_00975	0.0185	0.4201	0.5614		
p1k_00976	0.0243	0.41	0.5657		
p1k_00977	0.0281	0.4311	0.5408		
p1k_00978	0.0312	0.4369	0.5319		
p1k_00979	0.0244	0.4061	0.5695		
p1k_00980	0.026	0.3652	0.6087		
p1k_00981	0.0208	0.4099	0.5693		
p1k_00982	0.025	0.4129	0.5621		
p1k_00983	0.0206	0.4481	0.5313		
p1k_00984	0.0338	0.4065	0.5597		
p1k_00985	0.0264	0.4395	0.5341		
p1k_00986	0.0261	0.4363	0.5376		
p1k_00987	0.0253	0.4223	0.5524		
p1k_00988	0.0187	0.4504	0.531		
p1k_00989	0.0521	0.3766	0.5713		
p1k_00990	0.0274	0.4166	0.556		
p1k_00991	0.0187	0.4267	0.5547		
p1k_00992	0.025	0.4102	0.5648		
p1k_00993	0.028	0.4347	0.5373		
p1k_00994	0.0259	0.4223	0.5518		
p1k_00995	0.0228	0.4141	0.5631		
p1k_00996	0.0478	0.3775	0.5747		
p1k_00997	0.0185	0.4442	0.5373		
p1k_00998	0.0191	0.4138	0.5671		
p1k_00999	0.0245	0.4053	0.5702		
p1k_01000	0.0192	0.4246	0.5561		
p1k_01001	0.0342	0.3986	0.5673		
p1k_01002	0.0292	0.4004	0.5704		
p1k_01003	0.0253	0.443	0.5317		
p1k_01004	0.0284	0.4176	0.554		
p1k_01005	0.0243	0.445	0.5308		
p1k_01006	0.0245	0.4274	0.5481		
p1k_01007	0.0236	0.4363	0.5402		
p1k_01008	0.019	0.4534	0.5276		
p1k_01009	0.0209	0.4754	0.5037		
p1k_01010	0.0213	0.4705	0.5082		
p1k_01011	0.0298	0.4549	0.5153		
p1k_01012	0.0258	0.4674	0.5067		
p1k_01013	0.0251	0.47	0.5049		
p1k_01014	0.0295	0.4654	0.5051		
p1k_01015	0.027	0.408	0.565		
p1k_01016	0.0238	0.4395	0.5367		
p1k_01017	0.022	0.4405	0.5375		
p1k_01018	0.0251	0.443	0.5319		
p1k_01019	0.0228	0.4335	0.5437		
p1k_01020	0.0205	0.4413	0.5382		
p1k_01021	0.025	0.3856	0.5894		
p1k_01022	0.0241	0.4235	0.5523		
p1k_01023	0.0237	0.4178	0.5585		
p1k_01024	0.0479	0.3866	0.5655		
p1k_01025	0.0226	0.4057	0.5716		
p1k_01026	0.0256	0.4311	0.5433		
p1k_01027	0.0236	0.449	0.5274		
p1k_01028	0.0342	0.4269	0.5389		
p1k_01029	0.0295	0.3837	0.5867		
p1k_01030	0.0392	0.3896	0.5712		
p1k_01031	0.0202	0.4165	0.5634		
p1k_01032	0.0274	0.4362	0.5364		
p1k_01033	0.031	0.4314	0.5376		
p1k_01034	0.022	0.4201	0.5579		
p1k_01035	0.0282	0.3708	0.601		
p1k_01036	0.021	0.433	0.546		
p1k_01037	0.0236	0.443	0.5335		
p1k_01038	0.0252	0.4341	0.5408		
p1k_01039	0.0243	0.4345	0.5413		
p1k_01040	0.0236	0.4064	0.5701		
p1k_01041	0.0349	0.4358	0.5292		
p1k_01042	0.0382	0.4272	0.5346		
p1k_01043	0.0282	0.391	0.5807		
p1k_01044	0.0296	0.363	0.6074		
p1k_01045	0.0236	0.4475	0.5289		
p1k_01046	0.0206	0.4462	0.5333		
p1k_01047	0.0191	0.4401	0.5408		
p1k_01048	0.0201	0.4386	0.5413		
p1k_01049	0.0236	0.4495	0.527		
p1k_01050	0.021	0.4433	0.5357		
p1k_01051	0.0208	0.4396	0.5396		
p1k_01052	0.0258	0.4277	0.5465		
p1k_01053	0.0301	0.4312	0.5387		
p1k_01054	0.0257	0.3959	0.5785		
p1k_01055	0.0311	0.4107	0.5582		
